"","species1","X1","Freq","decimalLon","decimalLat","depth","area","volume","min_depth","max_depth","min_lat","max_lat","mid_depth","bathy_range","mid_lat","lat_range","abs_mid_lat","abs_decimalLat","mid_x_geog.x","mid_y_geog.x","area_geog.x","mid_x_geog.y","mid_y_geog.y","area_geog.y","area_geog_combine","y_median","abs_y_median"
"19","Cupressopathes abies",19,54,127.848,26.5,55,9548.41632636,38296.668543,17,73,-28.608584,26.5067,45,56,-1.050942,609768.49568684,1.050942,26.5,14933746.7418,-2.96246390266,10348032228900,0,0,0,10348032228900,-2.96246390266,2.96246390266
"20","Dendropathes intermedia",20,55,-156.68567,20.9475,396.2,340010.868654,1901302.508229,15,1250,-51.043167,36,632.5,1235,-7.5215835,963002.94853617,7.5215835,20.9475,18132586.1776,-1.3029942127,31225336697900,-18950460.7576,3.70928395759,11659233710400,42884570408300,1.203144872445,1.203144872445
"21","Leiopathes acanthophora",21,21,-173.396667,-42.596667,1107.5,14876.31217925,3968.83283478667,256.5,1608,-44.516667,-33.754334,932.25,1351.5,-39.1355005,119069.17876883,39.1355005,42.596667,19303649.0816,-37.6124922221,696459702894,-19652883.6091,-43.0320517602,164618681233,861078384127,-40.32227199115,40.32227199115
"22","Leiopathes secunda",22,37,167.828333,-39.5453,834,27190.9594894,41935.6755934,610,1200,-48.8,-33.696667,905,590,-41.2483335,167095.87567883,41.2483335,39.5453,18554378.2183,-40.942985995,3972606159460,-19747262.8536,-43.6742377029,25512366522.6,3998118525982.6,-42.30861184895,42.30861184895
"23","Lillipathes lillei",23,16,170.6299965,-34.5,329,46468.5380686,76923.335519,70,912,-68.088667,54.75205,491,842,-6.6683085,1359049.50093667,6.6683085,34.5,19399765.0549,-44.5511858951,3452949690590,-18262292.9722,-27.139539,289426311090,3742376001680,-35.84536244755,35.84536244755
"24","Lillipathes wingi",24,23,-134.2867,54.9,759,55086.1309731,96699.680941,371.5,3179.3,42.603,57.64083,1775.4,2807.8,50.121915,166371.1825833,50.121915,54.9,0,0,0,-15089763.2469,50.7847749432,2754968927780,2754968927780,50.7847749432,50.7847749432
"25","Myriopathes bifaria",25,11,124.98111,6.07222,20,14396.23900134,20032.339922,5,150,1.751667,35.26645,77.5,145,18.5090585,370791.13686833,18.5090585,6.07222,14482312.0684,19.0886221565,5082701304950,0,0,0,5082701304950,19.0886221565,19.0886221565
"26","Myriopathes japonica",26,15,126.137172,-1.61046,25,75120.3461968,424278.634896,5,350,-32.6067,33.301217,177.5,345,0.347258500000002,729172.89880867,0.347258500000002,1.61046,15483974.7043,-3.66253914921,13544182400400,0,0,0,13544182400400,-3.66253914921,3.66253914921
"27","Myriopathes myriophylla",27,54,128.25,-1.610445,37,106346.4215318,766103.786022,3.5,390,-30.179167,31.25,196.75,386.5,0.5354165,679622.20339617,0.5354165,1.610445,16176826.9552,-0.940629323823,21076757869000,-19764549.7714,-24.2555076849,252570501431,21329328370431,-12.5980685043615,12.5980685043615
"28","Myriopathes panamensis",28,14,-85.8501425,8.60665,19,2519.97253182,4223.66602867,6.5,146,-1.466667,24.139999,76.25,139.5,11.336666,283299.60535766,11.336666,8.60665,0,0,0,-10188625.3853,9.08768856635,3701486143950,3701486143950,9.08768856635,9.08768856635
"29","Myriopathes ulex",29,87,-156.71933,21.0028,126,60278.5604422,268267.52899167,10,457,-31.4317,33.225503,233.5,447,0.896901500000002,715335.61196253,0.896901500000002,21.0028,17526809.5737,5.1795398631,29781937222400,-19012769.2855,8.41135926196,8194675456290,37976612678690,6.79544956253,6.79544956253
"30","Parantipathes helicosticha",30,27,176.840698,-39.543201,817,188896.1448206,868460.86289,335,1469.5,-76.525,-28.8535,902.25,1134.5,-52.68925,527414.116965,52.68925,39.543201,18544094.6344,-49.3306647064,18020457274900,0,0,0,18020457274900,-49.3306647064,49.3306647064
"31","pseudocirrhipathes mapia",31,10,124.766443,21.71715,68.5,5552.5578098,5142.33604622,32,457,-8.4152,26.71,244.5,425,9.1474,388608.001452,9.1474,21.71715,15952922.968,16.0982643509,11275711705500,-18809229.6164,25.123031905,178197297320,11453909002820,20.61064812795,20.61064812795
"32","Rhipidipathes reticulata",32,28,134.502502,7.31583,30.9,18591.17211066,62479.356524,3.5,215,-10.633,26.5,109.25,211.5,7.9335,410821.31683,7.9335,7.31583,15330192.4935,6.96944301847,11133824068400,0,0,0,11133824068400,6.96944301847,6.96944301847
"33","Schizopathes affinis",33,24,144.583,-10.9445,2474,1435512.742012,19051012.86814,1576,4923,-61.400002,35.552,3249.5,3347,-12.924001,1072629.44364702,12.924001,10.9445,17846513.8892,-2.31707001537,33006309659600,-16301980.2108,-17.2546985301,60568175622500,93574485282100,-9.785884272735,9.785884272735
"34","Stauropathes staurocrada",34,84,-157.456,21.2014,415.5,113005.0370898,113787.175444,11,1941,-53.75,26.22848,976,1930,-13.76076,884842.7132648,13.76076,21.2014,18929996.618,-19.1897948007,4149429515080,-18652201.9784,21.6232049366,1892771550220,6042201065300,1.21670506795,1.21670506795
"35","Stichopathes spiessi",35,31,-127.79,30.4425,490,335999.417341,1857244.811152,365,1802.32,-37.418301,32.46,1083.66,1437.32,-2.4791505,773099.28189651,2.4791505,30.4425,17784282.1836,8.23647210398,27261859981800,-17775516.9617,8.52886552287,25538162740600,52800022722400,8.382668813425,8.382668813425
"36","Stichopathes variabilis",36,45,167.509995,-31.82125,177.5,236737.725864,1077156.65748,18,1080.5,-38.445,33.9946,549.25,1062.5,-2.2252,801436.238996,2.2252,31.82125,17186033.3664,-10.1472942004,10474770949700,-19898625.545,-30.6963812042,4790749481.66,10479561699181.7,-20.4218377023,20.4218377023
"37","Stylopathes columnaris",37,13,167.758301,-32.18,510,225814.9262,772723.02401,150,1174,-74.166667,15.16,662,1024,-29.5033335,988266.47362117,29.5033335,32.18,18687347.7781,-29.7765130235,16751955265500,-19888122.0796,-52.6009679461,685882699989,17437837965489,-41.1887404848,41.1887404848
"38","Stylopathes tenuispina",38,31,176.952332,-36.955334,316,290156.80988,1349125.798018,82,1080.5,-37.474667,16.51,581.25,998.5,-10.4823335,597259.90320117,10.4823335,36.955334,15690889.4303,-10.3160353342,11397664402300,0,0,0,11397664402300,-10.3160353342,10.3160353342
"39","Trissopathes pseudotristicha",39,28,-156.0319995,22.2141,490,923509.101148,8215876.18545,284,2800,-36.5,56.3694,1542,2516,9.9347,1027461.535594,9.9347,22.2141,18022284.9801,10.9094112378,27298162633200,-17387399.9851,19.3196768809,40650346711100,67948509344300,15.11454405935,15.11454405935
"40","Trissopathes tetracrada",40,20,-158.2615,18.71833,425.3,79385.6149771,89108.84024383,375,2316.6,-44.080002,35.6554,1345.8,1941.6,-4.212301,882153.41738102,4.212301,18.71833,18271313.2648,-30.0250006667,2430622454550,-17046025.9748,15.6808566667,4687138692500,7117761147050,-7.172072,7.172072
"41","Trissopathes tristicha",41,26,160.667007,-37.2258,849.25,550125.934425,4531982.753641,236,2355,-53.729,25.6266,1295.5,2119,-14.0512,877951.474156,14.0512,37.2258,17493285.9919,-8.63903435981,39494501920400,-19442308.2584,2.9000335753,5398828428180,44893330348580,-2.869500392255,2.869500392255
