"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"50","atl","depth","depth_range","Schizopathes crassa",1760,3430,NA,NA,NA,NA,NA,NA,NA
"51","atl","depth","depth_planar_range","Sibopathes macrospina",1379,7137727254390,NA,NA,NA,NA,NA,NA,NA
"52","atl","depth","depth_range","Sibopathes macrospina",1379,1862,NA,NA,NA,NA,NA,NA,NA
"53","atl","depth","depth_planar_range","Stauropathes arctica",1128,8788185771560,NA,NA,NA,NA,NA,NA,NA
"54","atl","depth","depth_range","Stauropathes arctica",1128,1334,NA,NA,NA,NA,NA,NA,NA
"55","atl","depth","depth_planar_range","Stauropathes punctata",1741.5,34174447834800,NA,NA,NA,NA,NA,NA,NA
"56","atl","depth","depth_range","Stauropathes punctata",1741.5,861,NA,NA,NA,NA,NA,NA,NA
"57","atl","depth","depth_planar_range","Stichopathes lutkeni",156.15,11298484058100,NA,NA,NA,NA,NA,NA,NA
"58","atl","depth","depth_range","Stichopathes lutkeni",156.15,287.7,NA,NA,NA,NA,NA,NA,NA
"59","atl","depth","depth_planar_range","Stichopathes occidentalis",87,12456325006100,NA,NA,NA,NA,NA,NA,NA
"60","atl","depth","depth_range","Stichopathes occidentalis",87,146,NA,NA,NA,NA,NA,NA,NA
"61","atl","depth","depth_planar_range","Stichopathes pourtalesi",736.25,12007790145300,NA,NA,NA,NA,NA,NA,NA
"62","atl","depth","depth_range","Stichopathes pourtalesi",736.25,1467.5,NA,NA,NA,NA,NA,NA,NA
"63","atl","depth","depth_planar_range","Stylopathes americana",296.5,8594199009230,NA,NA,NA,NA,NA,NA,NA
"64","atl","depth","depth_range","Stylopathes americana",296.5,533,NA,NA,NA,NA,NA,NA,NA
"65","atl","depth","depth_planar_range","Stylopathes columnaris",340.25,12129981595000,NA,NA,NA,NA,NA,NA,NA
"66","atl","depth","depth_range","Stylopathes columnaris",340.25,555.5,NA,NA,NA,NA,NA,NA,NA
"67","atl","depth","depth_planar_range","Tanacetipathes barbadensis",146.5,23131928320100,NA,NA,NA,NA,NA,NA,NA
"68","atl","depth","depth_range","Tanacetipathes barbadensis",146.5,277,NA,NA,NA,NA,NA,NA,NA
"69","atl","depth","depth_planar_range","Tanacetipathes hirta",214.67,26694827869700,NA,NA,NA,NA,NA,NA,NA
"70","atl","depth","depth_range","Tanacetipathes hirta",214.67,404.66,NA,NA,NA,NA,NA,NA,NA
"71","atl","depth","depth_planar_range","Tanacetipathes spinescens",90,1.018741e+14,NA,NA,NA,NA,NA,NA,NA
"72","atl","depth","depth_range","Tanacetipathes spinescens",90,140,NA,NA,NA,NA,NA,NA,NA
"73","atl","depth","depth_planar_range","Tanacetipathes tanacetum",659.5,39174233368300,NA,NA,NA,NA,NA,NA,NA
"74","atl","depth","depth_range","Tanacetipathes tanacetum",659.5,1267,NA,NA,NA,NA,NA,NA,NA
"75","atl","depth","depth_planar_range","Tanacetipathes thamnea",284.4,26898967083500,NA,NA,NA,NA,NA,NA,NA
"76","atl","depth","depth_range","Tanacetipathes thamnea",284.4,548.8,NA,NA,NA,NA,NA,NA,NA
