lat,type,rich
10.5,rich_2d,11
11.5,rich_lat,30
11.5,rich_geog,22
11.5,rich_2d,15
12.5,rich_lat,32
12.5,rich_geog,26
12.5,rich_2d,19
13.5,rich_lat,39
13.5,rich_geog,29
13.5,rich_2d,9
14.5,rich_lat,41
14.5,rich_geog,31
14.5,rich_2d,7
15.5,rich_lat,45
15.5,rich_geog,33
15.5,rich_2d,12
16.5,rich_lat,46
16.5,rich_geog,35
16.5,rich_2d,21
17.5,rich_lat,49
17.5,rich_geog,36
17.5,rich_2d,16
18.5,rich_lat,52
18.5,rich_geog,37
18.5,rich_2d,21
19.5,rich_lat,51
19.5,rich_geog,37
19.5,rich_2d,4
20.5,rich_lat,51
20.5,rich_geog,37
20.5,rich_2d,10
21.5,rich_lat,51
21.5,rich_geog,38
21.5,rich_2d,25
22.5,rich_lat,51
22.5,rich_geog,38
22.5,rich_2d,18
23.5,rich_lat,49
23.5,rich_geog,36
23.5,rich_2d,28
24.5,rich_lat,48
24.5,rich_geog,35
24.5,rich_2d,25
25.5,rich_lat,45
25.5,rich_geog,35
25.5,rich_2d,23
26.5,rich_lat,48
26.5,rich_geog,32
26.5,rich_2d,24
27.5,rich_lat,49
27.5,rich_geog,33
27.5,rich_2d,22
28.5,rich_lat,40
28.5,rich_geog,23
28.5,rich_2d,18
29.5,rich_lat,35
29.5,rich_geog,22
29.5,rich_2d,18
30.5,rich_lat,35
30.5,rich_geog,21
30.5,rich_2d,12
31.5,rich_lat,32
31.5,rich_geog,16
31.5,rich_2d,10
32.5,rich_lat,27
32.5,rich_geog,12
32.5,rich_2d,6
33.5,rich_lat,26
33.5,rich_geog,12
33.5,rich_2d,6
34.5,rich_lat,23
34.5,rich_geog,12
34.5,rich_2d,6
35.5,rich_lat,24
35.5,rich_geog,12
35.5,rich_2d,7
36.5,rich_lat,24
36.5,rich_geog,12
36.5,rich_2d,7
37.5,rich_lat,24
37.5,rich_geog,12
37.5,rich_2d,7
38.5,rich_lat,23
38.5,rich_geog,11
38.5,rich_2d,7
39.5,rich_lat,19
39.5,rich_geog,10
39.5,rich_2d,7
40.5,rich_lat,16
40.5,rich_geog,10
40.5,rich_2d,7
41.5,rich_lat,16
41.5,rich_geog,10
41.5,rich_2d,4
42.5,rich_lat,16
42.5,rich_geog,9
42.5,rich_2d,6
43.5,rich_lat,15
43.5,rich_geog,9
43.5,rich_2d,6
44.5,rich_lat,12
44.5,rich_geog,8
44.5,rich_2d,3
45.5,rich_lat,13
45.5,rich_geog,8
45.5,rich_2d,3
46.5,rich_lat,11
46.5,rich_geog,7
46.5,rich_2d,4
47.5,rich_lat,10
47.5,rich_geog,5
47.5,rich_2d,4
48.5,rich_lat,8
48.5,rich_geog,5
48.5,rich_2d,4
49.5,rich_lat,7
49.5,rich_geog,5
49.5,rich_2d,4
50.5,rich_lat,7
50.5,rich_geog,5
50.5,rich_2d,3
51.5,rich_lat,7
51.5,rich_geog,4
51.5,rich_2d,3
52.5,rich_lat,7
52.5,rich_geog,3
52.5,rich_2d,2
53.5,rich_lat,7
53.5,rich_geog,3
53.5,rich_2d,2
