long,type,rich
-13.5,rich_long,18
-13.5,rich_geog,12
-13.5,rich_2d,6
-12.5,rich_long,18
-12.5,rich_geog,12
-12.5,rich_2d,6
-11.5,rich_long,17
-11.5,rich_geog,12
-11.5,rich_2d,6
-10.5,rich_long,16
-10.5,rich_geog,10
-10.5,rich_2d,5
-9.5,rich_long,15
-9.5,rich_geog,10
-9.5,rich_2d,7
-8.5,rich_long,16
-8.5,rich_geog,10
-8.5,rich_2d,5
-7.5,rich_long,14
-7.5,rich_geog,9
-7.5,rich_2d,6
-6.5,rich_long,14
-6.5,rich_geog,9
-6.5,rich_2d,7
-5.5,rich_long,14
-5.5,rich_geog,8
-5.5,rich_2d,3
-4.5,rich_long,14
-4.5,rich_geog,8
-4.5,rich_2d,7
-3.5,rich_long,13
-3.5,rich_geog,8
-3.5,rich_2d,6
-2.5,rich_long,12
-2.5,rich_geog,8
-2.5,rich_2d,7
-1.5,rich_long,11
-1.5,rich_geog,7
-1.5,rich_2d,6
-0.5,rich_long,11
-0.5,rich_geog,6
-0.5,rich_2d,2
0.5,rich_long,11
0.5,rich_geog,6
0.5,rich_2d,5
1.5,rich_long,11
1.5,rich_geog,6
1.5,rich_2d,4
2.5,rich_long,12
2.5,rich_geog,6
2.5,rich_2d,2
3.5,rich_long,11
3.5,rich_geog,5
3.5,rich_2d,4
4.5,rich_long,11
4.5,rich_geog,5
4.5,rich_2d,3
5.5,rich_long,10
5.5,rich_geog,5
5.5,rich_2d,2
6.5,rich_long,9
6.5,rich_geog,5
6.5,rich_2d,2
7.5,rich_long,9
7.5,rich_geog,5
7.5,rich_2d,2
8.5,rich_long,9
8.5,rich_geog,5
8.5,rich_2d,4
9.5,rich_long,9
9.5,rich_geog,5
9.5,rich_2d,5
10.5,rich_long,8
10.5,rich_geog,5
10.5,rich_2d,5
11.5,rich_long,8
11.5,rich_geog,5
11.5,rich_2d,5
12.5,rich_long,8
12.5,rich_geog,5
12.5,rich_2d,5
13.5,rich_long,8
13.5,rich_geog,5
13.5,rich_2d,3
14.5,rich_long,8
14.5,rich_geog,5
14.5,rich_2d,4
15.5,rich_long,8
15.5,rich_geog,5
15.5,rich_2d,4
16.5,rich_long,7
16.5,rich_geog,4
16.5,rich_2d,2
17.5,rich_long,7
17.5,rich_geog,4
17.5,rich_2d,1
18.5,rich_long,7
18.5,rich_geog,4
18.5,rich_2d,1
19.5,rich_long,7
19.5,rich_geog,4
19.5,rich_2d,2
20.5,rich_long,6
20.5,rich_geog,4
20.5,rich_2d,3
21.5,rich_long,6
21.5,rich_geog,4
21.5,rich_2d,4
22.5,rich_long,6
22.5,rich_geog,4
22.5,rich_2d,2
23.5,rich_long,6
23.5,rich_geog,3
23.5,rich_2d,3
24.5,rich_long,6
24.5,rich_geog,3
