"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"52","atl","longitude","long_geog_range","Elatopathes abietina",-66.7565833191,12082726800900,NA,NA,NA,NA,NA,NA,NA
"53","atl","longitude","long_planar_range","Elatopathes abietina",-66.7565833191,2.42e+13,NA,NA,NA,NA,NA,NA,NA
"54","atl","longitude","long_range","Elatopathes abietina",-66.7565833191,7580904.745125,NA,NA,NA,NA,NA,NA,NA
"55","atl","longitude","long_geog_range","Leiopathes glaberrima",-37.5735905355,53226976358600,NA,NA,NA,NA,NA,NA,NA
"56","atl","longitude","long_planar_range","Leiopathes glaberrima",-37.5735905355,1.06456e+14,NA,NA,NA,NA,NA,NA,NA
"57","atl","longitude","long_range","Leiopathes glaberrima",-37.5735905355,13976651.874855,NA,NA,NA,NA,NA,NA,NA
"58","atl","longitude","long_geog_range","Leiopathes grimaldii",-16.4706984039,3709622012370,NA,NA,NA,NA,NA,NA,NA
"59","atl","longitude","long_planar_range","Leiopathes grimaldii",-16.4706984039,7419256339140,NA,NA,NA,NA,NA,NA,NA
"60","atl","longitude","long_range","Leiopathes grimaldii",-16.4706984039,1712464.796263,NA,NA,NA,NA,NA,NA,NA
"61","atl","longitude","long_geog_range","Parantipathes larix",-10.5924541095,11242857701000,NA,NA,NA,NA,NA,NA,NA
"62","atl","longitude","long_planar_range","Parantipathes larix",-10.5924541095,22485790271500,NA,NA,NA,NA,NA,NA,NA
"63","atl","longitude","long_range","Parantipathes larix",-10.5924541095,4941777.656996,NA,NA,NA,NA,NA,NA,NA
"64","atl","longitude","long_geog_range","Parantipathes tetrasticha",-69.7937265074,10710240816300,NA,NA,NA,NA,NA,NA,NA
"65","atl","longitude","long_planar_range","Parantipathes tetrasticha",-69.7937265074,21420549173600,NA,NA,NA,NA,NA,NA,NA
"66","atl","longitude","long_range","Parantipathes tetrasticha",-69.7937265074,4969928.352467,NA,NA,NA,NA,NA,NA,NA
"67","atl","longitude","long_geog_range","Phanopathes rigida",-77.6432549519,5370436228570,NA,NA,NA,NA,NA,NA,NA
"68","atl","longitude","long_planar_range","Phanopathes rigida",-77.6432549519,10740930070500,NA,NA,NA,NA,NA,NA,NA
"69","atl","longitude","long_range","Phanopathes rigida",-77.6432549519,4118311.984,NA,NA,NA,NA,NA,NA,NA
"70","atl","longitude","long_geog_range","Plumapathes pennacea",-78.1125104532,4739088930500,NA,NA,NA,NA,NA,NA,NA
"71","atl","longitude","long_planar_range","Plumapathes pennacea",-78.1125104532,9478180785430,NA,NA,NA,NA,NA,NA,NA
"72","atl","longitude","long_range","Plumapathes pennacea",-78.1125104532,3993383.12886,NA,NA,NA,NA,NA,NA,NA
"73","atl","longitude","long_geog_range","Schizopathes crassa",-7.84406745779,74059443084400,NA,NA,NA,NA,NA,NA,NA
"74","atl","longitude","long_planar_range","Schizopathes crassa",-7.84406745779,1.481193e+14,NA,NA,NA,NA,NA,NA,NA
"75","atl","longitude","long_range","Schizopathes crassa",-7.84406745779,10097044.94663,NA,NA,NA,NA,NA,NA,NA
"76","atl","longitude","long_geog_range","Sibopathes macrospina",-71.3059065127,3568856830360,NA,NA,NA,NA,NA,NA,NA
