depth,type,rich
356,richness1d,22
356,richness2d,0
357,richness1d,22
357,richness2d,1
358,richness1d,22
358,richness2d,15
361,richness1d,22
361,richness2d,1
362,richness1d,22
362,richness2d,0
363,richness1d,22
363,richness2d,1
364,richness1d,22
364,richness2d,1
366,richness1d,22
366,richness2d,0
367,richness1d,22
367,richness2d,3
368,richness1d,22
368,richness2d,18
371,richness1d,22
371,richness2d,1
372,richness1d,22
372,richness2d,3
373,richness1d,22
373,richness2d,4
374,richness1d,22
374,richness2d,0
375,richness1d,22
375,richness2d,0
376,richness1d,22
376,richness2d,0
378,richness1d,22
378,richness2d,1
379,richness1d,22
379,richness2d,0
380,richness1d,22
380,richness2d,12
381,richness1d,22
381,richness2d,3
382,richness1d,22
382,richness2d,3
383,richness1d,22
383,richness2d,0
384,richness1d,22
384,richness2d,0
386,richness1d,22
386,richness2d,0
387,richness1d,22
387,richness2d,5
389,richness1d,22
389,richness2d,2
390,richness1d,22
390,richness2d,4
393,richness1d,22
393,richness2d,0
394,richness1d,23
394,richness2d,1
395,richness1d,23
395,richness2d,0
397,richness1d,23
397,richness2d,0
398,richness1d,23
398,richness2d,1
399,richness1d,23
399,richness2d,0
401,richness1d,23
401,richness2d,0
406,richness1d,23
406,richness2d,2
407,richness1d,23
407,richness2d,0
411,richness1d,23
411,richness2d,0
412,richness1d,23
412,richness2d,5
413,richness1d,23
413,richness2d,0
414,richness1d,23
414,richness2d,20
415,richness1d,23
415,richness2d,0
417,richness1d,23
417,richness2d,1
419,richness1d,22
419,richness2d,0
423,richness1d,23
423,richness2d,0
424,richness1d,23
424,richness2d,5
425,richness1d,23
425,richness2d,1
428,richness1d,23
428,richness2d,0
430,richness1d,23
430,richness2d,0
431,richness1d,23
431,richness2d,0
432,richness1d,23
432,richness2d,0
435,richness1d,23
435,richness2d,0
436,richness1d,23
436,richness2d,0
440,richness1d,23
440,richness2d,8
442,richness1d,23
442,richness2d,3
445,richness1d,23
445,richness2d,0
446,richness1d,23
446,richness2d,0
450,richness1d,24
450,richness2d,1
451,richness1d,24
451,richness2d,1
452,richness1d,24
452,richness2d,0
454,richness1d,24
454,richness2d,0
455,richness1d,24
455,richness2d,0
456,richness1d,24
456,richness2d,2
459,richness1d,24
459,richness2d,1
462,richness1d,25
462,richness2d,0
463,richness1d,25
463,richness2d,1
464,richness1d,25
464,richness2d,0
467,richness1d,25
467,richness2d,0
469,richness1d,25
469,richness2d,0
470,richness1d,25
470,richness2d,2
471,richness1d,25
471,richness2d,0
472,richness1d,25
472,richness2d,3
473,richness1d,25
473,richness2d,0
474,richness1d,25
474,richness2d,1
477,richness1d,25
477,richness2d,14
478,richness1d,25
478,richness2d,1
482,richness1d,25
482,richness2d,1
483,richness1d,25
483,richness2d,16
484,richness1d,25
484,richness2d,0
486,richness1d,25
486,richness2d,1
487,richness1d,25
487,richness2d,7
488,richness1d,25
488,richness2d,0
490,richness1d,25
490,richness2d,0
491,richness1d,25
491,richness2d,0
492,richness1d,25
492,richness2d,4
497,richness1d,25
497,richness2d,16
498,richness1d,25
498,richness2d,13
499,richness1d,25
499,richness2d,1
505,richness1d,24
505,richness2d,0
506,richness1d,24
506,richness2d,3
507,richness1d,24
507,richness2d,5
508,richness1d,24
508,richness2d,4
510,richness1d,24
510,richness2d,0
514,richness1d,23
514,richness2d,0
515,richness1d,23
515,richness2d,6
518,richness1d,23
518,richness2d,9
519,richness1d,23
519,richness2d,0
520,richness1d,23
520,richness2d,6
523,richness1d,23
523,richness2d,0
525,richness1d,23
525,richness2d,0
526,richness1d,23
526,richness2d,1
527,richness1d,23
527,richness2d,0
529,richness1d,23
529,richness2d,0
532,richness1d,23
532,richness2d,0
533,richness1d,23
533,richness2d,14
535,richness1d,23
535,richness2d,0
537,richness1d,23
537,richness2d,0
538,richness1d,23
538,richness2d,1
540,richness1d,23
540,richness2d,0
541,richness1d,23
541,richness2d,0
546,richness1d,23
546,richness2d,1
549,richness1d,23
549,richness2d,1
551,richness1d,23
551,richness2d,0
552,richness1d,23
552,richness2d,1
558,richness1d,23
558,richness2d,0
559,richness1d,22
559,richness2d,0
560,richness1d,22
560,richness2d,14
561,richness1d,22
561,richness2d,0
563,richness1d,22
563,richness2d,1
564,richness1d,21
564,richness2d,0
566,richness1d,21
566,richness2d,0
567,richness1d,21
567,richness2d,1
570,richness1d,21
570,richness2d,3
574,richness1d,21
574,richness2d,0
576,richness1d,21
576,richness2d,0
577,richness1d,21
577,richness2d,0
578,richness1d,21
578,richness2d,0
579,richness1d,21
579,richness2d,5
581,richness1d,21
581,richness2d,11
583,richness1d,21
583,richness2d,12
584,richness1d,21
584,richness2d,1
585,richness1d,21
585,richness2d,0
589,richness1d,20
589,richness2d,5
593,richness1d,20
593,richness2d,1
596,richness1d,20
596,richness2d,1
605,richness1d,20
605,richness2d,9
609,richness1d,20
609,richness2d,1
610,richness1d,20
610,richness2d,1
612,richness1d,20
612,richness2d,1
615,richness1d,20
615,richness2d,1
616,richness1d,20
616,richness2d,0
617,richness1d,20
617,richness2d,9
621,richness1d,19
621,richness2d,1
627,richness1d,19
627,richness2d,1
628,richness1d,19
628,richness2d,4
631,richness1d,19
631,richness2d,0
632,richness1d,19
632,richness2d,0
638,richness1d,19
638,richness2d,0
642,richness1d,19
642,richness2d,1
643,richness1d,19
643,richness2d,0
644,richness1d,19
644,richness2d,4
645,richness1d,19
645,richness2d,0
648,richness1d,19
648,richness2d,0
651,richness1d,19
651,richness2d,0
652,richness1d,19
652,richness2d,0
654,richness1d,19
654,richness2d,3
655,richness1d,19
655,richness2d,6
656,richness1d,19
656,richness2d,0
657,richness1d,19
657,richness2d,0
658,richness1d,20
658,richness2d,4
659,richness1d,19
659,richness2d,0
661,richness1d,19
661,richness2d,1
669,richness1d,19
669,richness2d,1
674,richness1d,19
674,richness2d,0
676,richness1d,19
676,richness2d,0
679,richness1d,19
679,richness2d,6
680,richness1d,19
680,richness2d,1
683,richness1d,19
683,richness2d,0
686,richness1d,19
686,richness2d,1
687,richness1d,19
687,richness2d,1
690,richness1d,19
690,richness2d,1
691,richness1d,19
691,richness2d,0
693,richness1d,19
693,richness2d,12
697,richness1d,19
697,richness2d,8
703,richness1d,19
703,richness2d,0
706,richness1d,19
706,richness2d,11
707,richness1d,19
707,richness2d,12
708,richness1d,19
708,richness2d,7
710,richness1d,19
710,richness2d,9
711,richness1d,19
711,richness2d,0
713,richness1d,19
713,richness2d,12
717,richness1d,19
717,richness2d,2
718,richness1d,19
718,richness2d,1
719,richness1d,19
719,richness2d,0
720,richness1d,19
720,richness2d,11
726,richness1d,19
726,richness2d,0
737,richness1d,19
737,richness2d,1
740,richness1d,19
740,richness2d,0
747,richness1d,19
747,richness2d,0
750,richness1d,19
750,richness2d,0
751,richness1d,19
751,richness2d,0
753,richness1d,19
753,richness2d,0
756,richness1d,19
756,richness2d,1
760,richness1d,19
760,richness2d,11
761,richness1d,19
761,richness2d,1
762,richness1d,19
762,richness2d,0
768,richness1d,19
768,richness2d,1
774,richness1d,19
774,richness2d,0
775,richness1d,19
775,richness2d,6
776,richness1d,19
776,richness2d,0
777,richness1d,19
777,richness2d,0
779,richness1d,19
779,richness2d,2
783,richness1d,19
783,richness2d,1
787,richness1d,19
787,richness2d,0
789,richness1d,19
789,richness2d,2
790,richness1d,19
790,richness2d,12
791,richness1d,19
791,richness2d,0
792,richness1d,19
792,richness2d,2
794,richness1d,19
794,richness2d,0
800,richness1d,19
800,richness2d,12
803,richness1d,19
803,richness2d,0
806,richness1d,18
806,richness2d,7
807,richness1d,18
807,richness2d,2
808,richness1d,18
808,richness2d,12
813,richness1d,18
813,richness2d,1
815,richness1d,18
815,richness2d,8
822,richness1d,18
822,richness2d,0
823,richness1d,18
823,richness2d,10
824,richness1d,18
824,richness2d,4
825,richness1d,18
825,richness2d,1
828,richness1d,18
828,richness2d,2
832,richness1d,18
832,richness2d,1
833,richness1d,18
833,richness2d,1
836,richness1d,18
836,richness2d,3
837,richness1d,18
837,richness2d,6
840,richness1d,18
840,richness2d,11
842,richness1d,18
842,richness2d,12
843,richness1d,18
843,richness2d,10
848,richness1d,18
848,richness2d,0
849,richness1d,18
849,richness2d,0
856,richness1d,18
856,richness2d,1
857,richness1d,18
857,richness2d,1
860,richness1d,18
860,richness2d,11
861,richness1d,18
861,richness2d,0
863,richness1d,18
863,richness2d,0
864,richness1d,18
864,richness2d,0
865,richness1d,19
865,richness2d,0
870,richness1d,19
870,richness2d,10
871,richness1d,19
871,richness2d,2
873,richness1d,19
873,richness2d,1
875,richness1d,19
875,richness2d,0
876,richness1d,19
876,richness2d,6
884,richness1d,19
884,richness2d,0
885,richness1d,19
885,richness2d,1
889,richness1d,19
889,richness2d,0
892,richness1d,19
892,richness2d,1
894,richness1d,19
894,richness2d,5
897,richness1d,19
897,richness2d,0
898,richness1d,19
898,richness2d,10
899,richness1d,19
899,richness2d,0
904,richness1d,19
904,richness2d,2
905,richness1d,19
905,richness2d,0
908,richness1d,19
908,richness2d,1
913,richness1d,19
913,richness2d,0
915,richness1d,19
915,richness2d,0
920,richness1d,19
920,richness2d,0
921,richness1d,19
921,richness2d,1
928,richness1d,19
928,richness2d,12
930,richness1d,19
930,richness2d,0
938,richness1d,19
938,richness2d,0
939,richness1d,19
939,richness2d,0
943,richness1d,19
943,richness2d,13
944,richness1d,19
944,richness2d,0
946,richness1d,19
946,richness2d,0
951,richness1d,19
951,richness2d,0
953,richness1d,19
953,richness2d,4
960,richness1d,19
960,richness2d,1
963,richness1d,19
963,richness2d,0
966,richness1d,19
966,richness2d,4
967,richness1d,19
967,richness2d,0
970,richness1d,19
970,richness2d,1
971,richness1d,19
971,richness2d,3
972,richness1d,19
972,richness2d,2
973,richness1d,19
973,richness2d,0
975,richness1d,19
975,richness2d,0
978,richness1d,19
978,richness2d,0
979,richness1d,19
979,richness2d,0
982,richness1d,19
982,richness2d,0
985,richness1d,19
985,richness2d,2
986,richness1d,18
986,richness2d,9
987,richness1d,18
987,richness2d,0
989,richness1d,18
989,richness2d,3
990,richness1d,18
990,richness2d,10
991,richness1d,18
991,richness2d,1
993,richness1d,18
993,richness2d,2
1010,richness1d,18
1010,richness2d,7
1011,richness1d,18
1011,richness2d,0
1014,richness1d,18
1014,richness2d,3
1015,richness1d,18
1015,richness2d,1
1016,richness1d,18
1016,richness2d,1
1025,richness1d,18
1025,richness2d,0
1027,richness1d,18
1027,richness2d,4
1032,richness1d,18
1032,richness2d,2
1034,richness1d,18
1034,richness2d,0
1035,richness1d,18
1035,richness2d,1
1038,richness1d,18
1038,richness2d,0
1046,richness1d,18
1046,richness2d,5
1047,richness1d,18
1047,richness2d,2
1050,richness1d,18
1050,richness2d,0
1056,richness1d,18
1056,richness2d,0
1064,richness1d,18
1064,richness2d,6
1065,richness1d,18
1065,richness2d,0
1067,richness1d,18
1067,richness2d,10
1077,richness1d,18
1077,richness2d,0
1080,richness1d,18
1080,richness2d,0
1081,richness1d,18
1081,richness2d,3
1083,richness1d,18
1083,richness2d,3
1085,richness1d,18
1085,richness2d,3
1086,richness1d,18
1086,richness2d,2
1087,richness1d,18
1087,richness2d,0
1088,richness1d,18
1088,richness2d,5
1089,richness1d,18
1089,richness2d,0
1090,richness1d,18
1090,richness2d,0
1093,richness1d,18
1093,richness2d,1
1098,richness1d,18
1098,richness2d,8
1109,richness1d,18
1109,richness2d,4
1110,richness1d,18
1110,richness2d,1
1116,richness1d,18
1116,richness2d,1
1119,richness1d,18
1119,richness2d,6
1120,richness1d,18
1120,richness2d,2
1125,richness1d,18
1125,richness2d,2
1130,richness1d,18
1130,richness2d,10
1131,richness1d,18
1131,richness2d,11
1135,richness1d,18
1135,richness2d,7
1137,richness1d,18
1137,richness2d,3
1142,richness1d,18
1142,richness2d,4
1145,richness1d,18
1145,richness2d,1
1149,richness1d,18
1149,richness2d,0
1151,richness1d,18
1151,richness2d,9
1157,richness1d,18
1157,richness2d,10
1159,richness1d,18
1159,richness2d,7
1160,richness1d,18
1160,richness2d,9
1161,richness1d,18
1161,richness2d,9
1171,richness1d,17
1171,richness2d,1
1174,richness1d,17
1174,richness2d,0
1178,richness1d,17
1178,richness2d,0
1180,richness1d,17
1180,richness2d,1
1184,richness1d,17
1184,richness2d,8
1185,richness1d,17
1185,richness2d,2
1192,richness1d,17
1192,richness2d,0
1194,richness1d,17
1194,richness2d,0
1196,richness1d,17
1196,richness2d,1
1202,richness1d,17
1202,richness2d,6
1205,richness1d,17
1205,richness2d,0
1209,richness1d,17
1209,richness2d,1
1212,richness1d,17
1212,richness2d,3
1221,richness1d,17
1221,richness2d,2
1226,richness1d,17
1226,richness2d,5
1227,richness1d,17
1227,richness2d,1
1231,richness1d,17
1231,richness2d,0
1233,richness1d,17
1233,richness2d,0
1234,richness1d,17
1234,richness2d,4
1235,richness1d,17
1235,richness2d,3
1236,richness1d,17
1236,richness2d,0
1238,richness1d,17
1238,richness2d,1
1239,richness1d,17
1239,richness2d,0
1240,richness1d,17
1240,richness2d,3
1242,richness1d,17
1242,richness2d,3
1248,richness1d,17
1248,richness2d,5
1249,richness1d,17
1249,richness2d,3
1250,richness1d,17
1250,richness2d,8
1253,richness1d,17
1253,richness2d,1
1254,richness1d,17
1254,richness2d,0
1259,richness1d,17
1259,richness2d,0
1264,richness1d,17
1264,richness2d,8
1265,richness1d,17
1265,richness2d,2
1267,richness1d,17
1267,richness2d,1
1268,richness1d,17
1268,richness2d,0
1271,richness1d,17
1271,richness2d,0
1273,richness1d,17
1273,richness2d,0
1275,richness1d,17
1275,richness2d,1
1277,richness1d,17
1277,richness2d,0
1279,richness1d,17
1279,richness2d,5
1283,richness1d,17
1283,richness2d,1
1284,richness1d,17
1284,richness2d,0
1285,richness1d,17
1285,richness2d,6
1286,richness1d,17
1286,richness2d,1
1287,richness1d,17
1287,richness2d,5
1288,richness1d,17
1288,richness2d,5
1291,richness1d,17
1291,richness2d,0
1292,richness1d,17
1292,richness2d,0
1295,richness1d,16
1295,richness2d,1
1297,richness1d,16
1297,richness2d,3
1299,richness1d,16
1299,richness2d,6
1300,richness1d,16
1300,richness2d,5
1301,richness1d,16
1301,richness2d,1
1304,richness1d,16
1304,richness2d,2
1306,richness1d,16
1306,richness2d,0
1307,richness1d,16
1307,richness2d,0
1308,richness1d,16
1308,richness2d,0
1310,richness1d,16
1310,richness2d,1
1312,richness1d,17
1312,richness2d,5
1314,richness1d,17
1314,richness2d,0
1315,richness1d,17
1315,richness2d,3
1317,richness1d,17
1317,richness2d,0
1321,richness1d,17
1321,richness2d,1
1323,richness1d,17
1323,richness2d,0
1325,richness1d,17
1325,richness2d,1
1327,richness1d,17
1327,richness2d,1
1329,richness1d,17
1329,richness2d,6
1332,richness1d,17
1332,richness2d,0
1333,richness1d,17
1333,richness2d,1
1335,richness1d,17
1335,richness2d,0
1336,richness1d,17
1336,richness2d,1
1338,richness1d,17
1338,richness2d,0
1340,richness1d,17
1340,richness2d,2
1341,richness1d,17
1341,richness2d,4
1345,richness1d,16
1345,richness2d,3
1346,richness1d,16
1346,richness2d,0
1348,richness1d,16
1348,richness2d,6
1349,richness1d,16
1349,richness2d,3
1350,richness1d,16
1350,richness2d,0
1351,richness1d,16
1351,richness2d,3
1360,richness1d,15
1360,richness2d,1
1363,richness1d,15
1363,richness2d,0
1365,richness1d,15
1365,richness2d,3
1367,richness1d,15
1367,richness2d,4
1368,richness1d,15
1368,richness2d,6
1372,richness1d,15
1372,richness2d,3
1375,richness1d,15
1375,richness2d,4
1376,richness1d,15
1376,richness2d,3
1377,richness1d,15
1377,richness2d,0
1382,richness1d,15
1382,richness2d,0
1383,richness1d,15
1383,richness2d,0
1384,richness1d,15
1384,richness2d,5
1385,richness1d,15
1385,richness2d,3
1387,richness1d,15
1387,richness2d,3
1391,richness1d,15
1391,richness2d,6
1393,richness1d,15
1393,richness2d,0
1394,richness1d,15
1394,richness2d,1
1395,richness1d,15
1395,richness2d,2
1398,richness1d,15
1398,richness2d,1
1402,richness1d,15
1402,richness2d,0
1404,richness1d,15
1404,richness2d,3
1405,richness1d,15
1405,richness2d,0
1408,richness1d,15
1408,richness2d,6
1409,richness1d,15
1409,richness2d,6
1411,richness1d,14
1411,richness2d,0
