"","X1","x","x_adjust","variable","value"
"140",129,143.5,149.5,"rich_2d",6
"141",128,142.5,150.5,"rich_2d",5
"142",127,141.5,151.5,"rich_2d",6
"143",126,140.5,152.5,"rich_2d",6
"144",125,139.5,153.5,"rich_2d",5
"145",124,138.5,154.5,"rich_2d",8
"146",123,137.5,155.5,"rich_2d",11
"147",122,136.5,156.5,"rich_2d",11
"148",121,135.5,157.5,"rich_2d",9
"149",120,134.5,158.5,"rich_2d",7
"150",119,133.5,159.5,"rich_2d",7
"151",118,132.5,160.5,"rich_2d",7
"152",117,131.5,161.5,"rich_2d",8
"153",116,130.5,162.5,"rich_2d",7
"154",115,129.5,163.5,"rich_2d",6
"155",114,128.5,164.5,"rich_2d",6
"156",113,127.5,165.5,"rich_2d",8
"157",112,126.5,166.5,"rich_2d",5
"158",111,125.5,167.5,"rich_2d",5
"159",110,124.5,168.5,"rich_2d",5
"160",109,123.5,169.5,"rich_2d",9
"161",108,122.5,170.5,"rich_2d",9
"162",107,121.5,171.5,"rich_2d",6
"163",106,120.5,172.5,"rich_2d",4
"164",105,119.5,173.5,"rich_2d",1
"165",104,-76.5,7.5,"max_rich",1
"166",103,-77.5,8.5,"max_rich",1
"167",102,-78.5,9.5,"max_rich",1
"168",101,-79.5,10.5,"max_rich",1
"169",100,-80.5,11.5,"max_rich",1
"170",99,-81.5,12.5,"max_rich",1
"171",98,-82.5,13.5,"max_rich",1
"172",97,-83.5,14.5,"max_rich",1
"173",96,-84.5,15.5,"max_rich",1
"174",95,-85.5,16.5,"max_rich",2
"175",94,-86.5,17.5,"max_rich",2
"176",93,-87.5,18.5,"max_rich",3
"177",92,-88.5,19.5,"max_rich",3
"178",91,-89.5,20.5,"max_rich",3
"179",90,-90.5,21.5,"max_rich",3
"180",89,-91.5,22.5,"max_rich",3
"181",88,-92.5,23.5,"max_rich",3
"182",87,-93.5,24.5,"max_rich",3
"183",86,-94.5,25.5,"max_rich",3
"184",85,-95.5,26.5,"max_rich",3
"185",84,-96.5,27.5,"max_rich",3
"186",83,-97.5,28.5,"max_rich",3
"187",82,-98.5,29.5,"max_rich",3
"188",81,-99.5,30.5,"max_rich",3
"189",80,-100.5,31.5,"max_rich",3
"190",79,-101.5,32.5,"max_rich",3
"191",78,-102.5,33.5,"max_rich",4
"192",77,-103.5,34.5,"max_rich",4
"193",76,-104.5,35.5,"max_rich",4
"194",75,-105.5,36.5,"max_rich",4
"195",74,-106.5,37.5,"max_rich",4
"196",73,-107.5,38.5,"max_rich",4
"197",72,-108.5,39.5,"max_rich",4
"198",71,-109.5,40.5,"max_rich",4
"199",70,-110.5,41.5,"max_rich",4
"200",69,-111.5,42.5,"max_rich",4
"201",68,-112.5,43.5,"max_rich",4
"202",67,-113.5,44.5,"max_rich",4
"203",66,-114.5,45.5,"max_rich",4
"204",65,-115.5,46.5,"max_rich",4
"205",64,-116.5,47.5,"max_rich",4
"206",63,-117.5,48.5,"max_rich",4
"207",62,-118.5,49.5,"max_rich",4
"208",61,-119.5,50.5,"max_rich",4
"209",60,-120.5,51.5,"max_rich",4
"210",59,-121.5,52.5,"max_rich",4
"211",58,-122.5,53.5,"max_rich",4
"212",57,-123.5,54.5,"max_rich",4
"213",56,-124.5,55.5,"max_rich",5
"214",55,-125.5,56.5,"max_rich",5
"215",54,-126.5,57.5,"max_rich",5
"216",53,-127.5,58.5,"max_rich",5
"217",52,-128.5,59.5,"max_rich",6
"218",51,-129.5,60.5,"max_rich",6
"219",50,-130.5,61.5,"max_rich",6
"220",49,-131.5,62.5,"max_rich",6
"221",48,-132.5,63.5,"max_rich",6
"222",47,-133.5,64.5,"max_rich",6
"223",46,-134.5,65.5,"max_rich",6
"224",45,-135.5,66.5,"max_rich",6
"225",44,-136.5,67.5,"max_rich",6
"226",43,-137.5,68.5,"max_rich",6
"227",42,-138.5,69.5,"max_rich",6
"228",41,-139.5,70.5,"max_rich",6
"229",40,-140.5,71.5,"max_rich",6
"230",39,-141.5,72.5,"max_rich",6
"231",38,-142.5,73.5,"max_rich",6
"232",37,-143.5,74.5,"max_rich",6
"233",36,-144.5,75.5,"max_rich",6
"234",35,-145.5,76.5,"max_rich",7
"235",34,-146.5,77.5,"max_rich",7
"236",33,-147.5,78.5,"max_rich",7
"237",32,-148.5,79.5,"max_rich",7
"238",31,-149.5,80.5,"max_rich",7
"239",30,-150.5,81.5,"max_rich",7
"240",29,-151.5,82.5,"max_rich",7
"241",28,-152.5,83.5,"max_rich",7
"242",27,-153.5,84.5,"max_rich",7
"243",26,-154.5,85.5,"max_rich",7
"244",25,-155.5,86.5,"max_rich",12
"245",24,-156.5,87.5,"max_rich",13
"246",23,-157.5,88.5,"max_rich",13
"247",22,-158.5,89.5,"max_rich",13
"248",21,-159.5,90.5,"max_rich",13
"249",20,-160.5,91.5,"max_rich",13
"250",19,-161.5,92.5,"max_rich",13
"251",18,-162.5,93.5,"max_rich",13
"252",17,-163.5,94.5,"max_rich",13
"253",16,-164.5,95.5,"max_rich",13
"254",15,-165.5,96.5,"max_rich",13
"255",14,-166.5,97.5,"max_rich",13
"256",13,-167.5,98.5,"max_rich",13
"257",12,-168.5,99.5,"max_rich",13
"258",11,-169.5,100.5,"max_rich",13
"259",10,-170.5,101.5,"max_rich",13
"260",9,-171.5,102.5,"max_rich",13
"261",8,-172.5,103.5,"max_rich",13
"262",7,-173.5,104.5,"max_rich",13
"263",6,-174.5,105.5,"max_rich",13
"264",5,-175.5,106.5,"max_rich",13
"265",4,-176.5,107.5,"max_rich",13
"266",3,-177.5,108.5,"max_rich",13
"267",2,-178.5,109.5,"max_rich",13
"268",1,-179.5,110.5,"max_rich",13
"269",164,178.5,114.5,"max_rich",12
"270",163,177.5,115.5,"max_rich",14
"271",162,176.5,116.5,"max_rich",14
"272",161,175.5,117.5,"max_rich",15
"273",160,174.5,118.5,"max_rich",15
"274",159,173.5,119.5,"max_rich",16
"275",158,172.5,120.5,"max_rich",16
"276",157,171.5,121.5,"max_rich",16
"277",156,170.5,122.5,"max_rich",16
"278",155,169.5,123.5,"max_rich",17
"279",154,168.5,124.5,"max_rich",16
"280",153,167.5,125.5,"max_rich",17
"281",152,166.5,126.5,"max_rich",16
"282",151,165.5,127.5,"max_rich",16
"283",150,164.5,128.5,"max_rich",16
"284",149,163.5,129.5,"max_rich",17
"285",148,162.5,130.5,"max_rich",18
"286",147,161.5,131.5,"max_rich",18
"287",146,160.5,132.5,"max_rich",18
"288",145,159.5,133.5,"max_rich",19
"289",144,158.5,134.5,"max_rich",19
"290",143,157.5,135.5,"max_rich",19
"291",142,156.5,136.5,"max_rich",19
"292",141,155.5,137.5,"max_rich",19
"293",140,154.5,138.5,"max_rich",19
"294",139,153.5,139.5,"max_rich",20
"295",138,152.5,140.5,"max_rich",20
"296",137,151.5,141.5,"max_rich",21
"297",136,150.5,142.5,"max_rich",21
"298",135,149.5,143.5,"max_rich",21
"299",134,148.5,144.5,"max_rich",21
"300",133,147.5,145.5,"max_rich",21
"301",132,146.5,146.5,"max_rich",21
"302",131,145.5,147.5,"max_rich",20
"303",130,144.5,148.5,"max_rich",20
"304",129,143.5,149.5,"max_rich",19
"305",128,142.5,150.5,"max_rich",20
"306",127,141.5,151.5,"max_rich",20
"307",126,140.5,152.5,"max_rich",19
"308",125,139.5,153.5,"max_rich",18
"309",124,138.5,154.5,"max_rich",18
"310",123,137.5,155.5,"max_rich",17
"311",122,136.5,156.5,"max_rich",16
"312",121,135.5,157.5,"max_rich",17
"313",120,134.5,158.5,"max_rich",16
"314",119,133.5,159.5,"max_rich",15
"315",118,132.5,160.5,"max_rich",15
"316",117,131.5,161.5,"max_rich",15
"317",116,130.5,162.5,"max_rich",15
"318",115,129.5,163.5,"max_rich",15
"319",114,128.5,164.5,"max_rich",15
"320",113,127.5,165.5,"max_rich",14
"321",112,126.5,166.5,"max_rich",14
"322",111,125.5,167.5,"max_rich",14
"323",110,124.5,168.5,"max_rich",13
"324",109,123.5,169.5,"max_rich",11
"325",108,122.5,170.5,"max_rich",10
"326",107,121.5,171.5,"max_rich",9
"327",106,120.5,172.5,"max_rich",6
"328",105,119.5,173.5,"max_rich",1
"329",104,-76.5,7.5,"richness_long",1
"330",103,-77.5,8.5,"richness_long",1
"331",102,-78.5,9.5,"richness_long",1
"332",101,-79.5,10.5,"richness_long",2
"333",100,-80.5,11.5,"richness_long",2
"334",99,-81.5,12.5,"richness_long",3
"335",98,-82.5,13.5,"richness_long",3
"336",97,-83.5,14.5,"richness_long",3
"337",96,-84.5,15.5,"richness_long",3
"338",95,-85.5,16.5,"richness_long",3
"339",94,-86.5,17.5,"richness_long",3
"340",93,-87.5,18.5,"richness_long",3
"341",92,-88.5,19.5,"richness_long",5
"342",91,-89.5,20.5,"richness_long",5
"343",90,-90.5,21.5,"richness_long",5
"344",89,-91.5,22.5,"richness_long",5
"345",88,-92.5,23.5,"richness_long",5
"346",87,-93.5,24.5,"richness_long",5
"347",86,-94.5,25.5,"richness_long",5
"348",85,-95.5,26.5,"richness_long",5
"349",84,-96.5,27.5,"richness_long",5
"350",83,-97.5,28.5,"richness_long",5
"351",82,-98.5,29.5,"richness_long",5
"352",81,-99.5,30.5,"richness_long",5
"353",80,-100.5,31.5,"richness_long",5
"354",79,-101.5,32.5,"richness_long",5
"355",78,-102.5,33.5,"richness_long",6
"356",77,-103.5,34.5,"richness_long",6
"357",76,-104.5,35.5,"richness_long",6
"358",75,-105.5,36.5,"richness_long",6
"359",74,-106.5,37.5,"richness_long",6
"360",73,-107.5,38.5,"richness_long",6
"361",72,-108.5,39.5,"richness_long",6
"362",71,-109.5,40.5,"richness_long",6
"363",70,-110.5,41.5,"richness_long",5
"364",69,-111.5,42.5,"richness_long",5
"365",68,-112.5,43.5,"richness_long",5
"366",67,-113.5,44.5,"richness_long",5
"367",66,-114.5,45.5,"richness_long",4
"368",65,-115.5,46.5,"richness_long",4
"369",64,-116.5,47.5,"richness_long",4
"370",63,-117.5,48.5,"richness_long",4
"371",62,-118.5,49.5,"richness_long",4
"372",61,-119.5,50.5,"richness_long",4
"373",60,-120.5,51.5,"richness_long",5
"374",59,-121.5,52.5,"richness_long",6
"375",58,-122.5,53.5,"richness_long",7
"376",57,-123.5,54.5,"richness_long",8
"377",56,-124.5,55.5,"richness_long",9
"378",55,-125.5,56.5,"richness_long",10
"379",54,-126.5,57.5,"richness_long",10
"380",53,-127.5,58.5,"richness_long",10
"381",52,-128.5,59.5,"richness_long",10
"382",51,-129.5,60.5,"richness_long",10
"383",50,-130.5,61.5,"richness_long",10
"384",49,-131.5,62.5,"richness_long",10
"385",48,-132.5,63.5,"richness_long",10
"386",47,-133.5,64.5,"richness_long",10
"387",46,-134.5,65.5,"richness_long",10
"388",45,-135.5,66.5,"richness_long",10
"389",44,-136.5,67.5,"richness_long",10
"390",43,-137.5,68.5,"richness_long",10
"391",42,-138.5,69.5,"richness_long",10
"392",41,-139.5,70.5,"richness_long",11
"393",40,-140.5,71.5,"richness_long",10
"394",39,-141.5,72.5,"richness_long",10
"395",38,-142.5,73.5,"richness_long",10
"396",37,-143.5,74.5,"richness_long",10
"397",36,-144.5,75.5,"richness_long",10
"398",35,-145.5,76.5,"richness_long",10
"399",34,-146.5,77.5,"richness_long",11
"400",33,-147.5,78.5,"richness_long",10
"401",32,-148.5,79.5,"richness_long",9
"402",31,-149.5,80.5,"richness_long",9
"403",30,-150.5,81.5,"richness_long",10
"404",29,-151.5,82.5,"richness_long",9
"405",28,-152.5,83.5,"richness_long",9
"406",27,-153.5,84.5,"richness_long",10
"407",26,-154.5,85.5,"richness_long",9
"408",25,-155.5,86.5,"richness_long",14
"409",24,-156.5,87.5,"richness_long",16
"410",23,-157.5,88.5,"richness_long",15
"411",22,-158.5,89.5,"richness_long",15
"412",21,-159.5,90.5,"richness_long",14
"413",20,-160.5,91.5,"richness_long",18
"414",19,-161.5,92.5,"richness_long",15
"415",18,-162.5,93.5,"richness_long",16
"416",17,-163.5,94.5,"richness_long",16
"417",16,-164.5,95.5,"richness_long",17
"418",15,-165.5,96.5,"richness_long",16
"419",14,-166.5,97.5,"richness_long",17
"420",13,-167.5,98.5,"richness_long",18
"421",12,-168.5,99.5,"richness_long",17
"422",11,-169.5,100.5,"richness_long",17
"423",10,-170.5,101.5,"richness_long",18
"424",9,-171.5,102.5,"richness_long",18
"425",8,-172.5,103.5,"richness_long",17
"426",7,-173.5,104.5,"richness_long",17
"427",6,-174.5,105.5,"richness_long",18
"428",5,-175.5,106.5,"richness_long",19
"429",4,-176.5,107.5,"richness_long",18
"430",3,-177.5,108.5,"richness_long",19
"431",2,-178.5,109.5,"richness_long",19
"432",1,-179.5,110.5,"richness_long",19
"433",164,178.5,114.5,"richness_long",20
"434",163,177.5,115.5,"richness_long",25
"435",162,176.5,116.5,"richness_long",28
"436",161,175.5,117.5,"richness_long",28
"437",160,174.5,118.5,"richness_long",29
"438",159,173.5,119.5,"richness_long",29
"439",158,172.5,120.5,"richness_long",30
"440",157,171.5,121.5,"richness_long",30
"441",156,170.5,122.5,"richness_long",30
"442",155,169.5,123.5,"richness_long",30
"443",154,168.5,124.5,"richness_long",30
"444",153,167.5,125.5,"richness_long",30
"445",152,166.5,126.5,"richness_long",29
"446",151,165.5,127.5,"richness_long",28
"447",150,164.5,128.5,"richness_long",28
"448",149,163.5,129.5,"richness_long",28
"449",148,162.5,130.5,"richness_long",28
"450",147,161.5,131.5,"richness_long",29
"451",146,160.5,132.5,"richness_long",29
"452",145,159.5,133.5,"richness_long",29
"453",144,158.5,134.5,"richness_long",28
"454",143,157.5,135.5,"richness_long",28
"455",142,156.5,136.5,"richness_long",28
"456",141,155.5,137.5,"richness_long",28
"457",140,154.5,138.5,"richness_long",28
"458",139,153.5,139.5,"richness_long",29
"459",138,152.5,140.5,"richness_long",29
"460",137,151.5,141.5,"richness_long",28
"461",136,150.5,142.5,"richness_long",27
"462",135,149.5,143.5,"richness_long",27
"463",134,148.5,144.5,"richness_long",27
"464",133,147.5,145.5,"richness_long",25
"465",132,146.5,146.5,"richness_long",25
"466",131,145.5,147.5,"richness_long",24
"467",130,144.5,148.5,"richness_long",24
"468",129,143.5,149.5,"richness_long",24
"469",128,142.5,150.5,"richness_long",24
"470",127,141.5,151.5,"richness_long",24
"471",126,140.5,152.5,"richness_long",24
"472",125,139.5,153.5,"richness_long",24
"473",124,138.5,154.5,"richness_long",25
"474",123,137.5,155.5,"richness_long",24
"475",122,136.5,156.5,"richness_long",24
"476",121,135.5,157.5,"richness_long",24
"477",120,134.5,158.5,"richness_long",22
"478",119,133.5,159.5,"richness_long",22
"479",118,132.5,160.5,"richness_long",22
"480",117,131.5,161.5,"richness_long",22
"481",116,130.5,162.5,"richness_long",22
"482",115,129.5,163.5,"richness_long",22
"483",114,128.5,164.5,"richness_long",21
"484",113,127.5,165.5,"richness_long",19
"485",112,126.5,166.5,"richness_long",17
"486",111,125.5,167.5,"richness_long",17
"487",110,124.5,168.5,"richness_long",16
"488",109,123.5,169.5,"richness_long",16
"489",108,122.5,170.5,"richness_long",13
"490",107,121.5,171.5,"richness_long",13
"491",106,120.5,172.5,"richness_long",8
"492",105,119.5,173.5,"richness_long",4
