"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"50","pac","longitude","long_planar_range","Cirrhipathes anguina",159.10714,86779717797000,NA,NA,NA,133.1,NA,NA,NA
"51","pac","longitude","long_range","Cirrhipathes anguina",159.10714,9477741.44614,3333462.151805,6144279.294335,9477741.44614,133.1,NA,NA,NA
"52","pac","longitude","long_geog_range","Cirrhipathes spiralis",159.660169,44542032780600,NA,NA,0,133.66,NA,NA,NA
"53","pac","longitude","long_planar_range","Cirrhipathes spiralis",159.660169,89084836993200,NA,NA,0,133.66,NA,NA,NA
"54","pac","longitude","long_range","Cirrhipathes spiralis",159.660169,9382006.684057,3238283.987176,6143722.696881,9382006.684057,133.66,NA,NA,NA
"55","pac","longitude","long_geog_range","Cupressopathes abies",134.08195,10348063541600,NA,NA,0,158.08,NA,NA,NA
"56","pac","longitude","long_planar_range","Cupressopathes abies",134.08195,20696189275900,NA,NA,0,158.08,NA,NA,NA
"57","pac","longitude","long_range","Cupressopathes abies",134.08195,3842933.27858,3436989.278242,405944.000338,3842933.27858,158.08,NA,NA,NA
"58","pac","longitude","long_geog_range","Dendropathes intermedia",170.480855,43371430572900,NA,NA,0,122.48,NA,NA,NA
"59","pac","longitude","long_planar_range","Dendropathes intermedia",170.480855,86743560281900,NA,NA,0,122.48,NA,NA,NA
"60","pac","longitude","long_range","Dendropathes intermedia",170.480855,7479927.280304,1335833.889519,6144093.390785,7479927.280304,122.48,NA,NA,NA
"61","pac","longitude","long_geog_range","Leiopathes acanthophora",176.71039,1129128665130,NA,NA,NA,116.71,NA,NA,NA
"62","pac","longitude","long_planar_range","Leiopathes acanthophora",176.71039,2258442591400,NA,NA,NA,116.71,NA,NA,NA
"63","pac","longitude","long_range","Leiopathes acanthophora",176.71039,2295960.824068,4075035.530079,1779074.706011,2295960.824068,116.71,NA,NA,NA
"64","pac","longitude","long_geog_range","Leiopathes secunda",169.360148,5207596530660,NA,NA,0,123.36,NA,NA,NA
"65","pac","longitude","long_planar_range","Leiopathes secunda",169.360148,10415237075600,NA,NA,0,123.36,NA,NA,NA
"66","pac","longitude","long_range","Leiopathes secunda",169.360148,3859929.093157,47867.381041,3907796.474198,3859929.093157,123.36,NA,NA,NA
"67","pac","longitude","long_geog_range","Lillipathes lillei",-168.701572,30728645152300,NA,NA,NA,99.7,NA,NA,NA
"68","pac","longitude","long_planar_range","Lillipathes lillei",-168.701572,61457298513500,NA,NA,NA,99.7,NA,NA,NA
"69","pac","longitude","long_range","Lillipathes lillei",-168.701572,6533648.156452,8475839.312322,1942191.15587,6533648.156452,99.7,NA,NA,NA
"70","pac","longitude","long_geog_range","Lillipathes wingi",-135.434864,2754968927780,NA,NA,NA,66.43,NA,NA,NA
"71","pac","longitude","long_planar_range","Lillipathes wingi",-135.434864,5510001053350,NA,NA,NA,66.43,NA,NA,NA
"72","pac","longitude","long_range","Lillipathes wingi",-135.434864,2654418.156023,9497227.255086,6842809.099063,2654418.156023,66.43,NA,NA,NA
"73","pac","longitude","long_geog_range","Myriopathes bifaria",130.066679,5082701304950,NA,NA,NA,162.06,NA,NA,NA
"74","pac","longitude","long_planar_range","Myriopathes bifaria",130.066679,10165402635600,NA,NA,NA,162.06,NA,NA,NA
"75","pac","longitude","long_range","Myriopathes bifaria",130.066679,2050025.010768,3229501.769909,1179476.759141,2050025.010768,162.06,NA,NA,NA
"76","pac","longitude","long_geog_range","Myriopathes japonica",139.142814,13544182400400,NA,NA,NA,153.14,NA,NA,NA
"77","pac","longitude","long_planar_range","Myriopathes japonica",139.142814,27088366171200,NA,NA,NA,153.14,NA,NA,NA
"78","pac","longitude","long_range","Myriopathes japonica",139.142814,4952789.714984,3003585.431194,1949204.28379,4952789.714984,153.14,NA,NA,NA
"79","pac","longitude","long_geog_range","Myriopathes myriophylla",148.204201,23533066807200,NA,NA,0,144.2,NA,NA,NA
"80","pac","longitude","long_planar_range","Myriopathes myriophylla",148.204201,47066135634100,NA,NA,0,144.2,NA,NA,NA
"81","pac","longitude","long_range","Myriopathes myriophylla",148.204201,7193558.335516,3310363.691423,3883194.644093,7193558.335516,144.2,NA,NA,NA
"82","pac","longitude","long_geog_range","Myriopathes panamensis",-91.5051,3701486143950,NA,NA,NA,22.5,NA,NA,NA
"83","pac","longitude","long_planar_range","Myriopathes panamensis",-91.5051,7402972727060,NA,NA,NA,22.5,NA,NA,NA
