"","X1","lat","variable","value"
"172",31,-41.5,"rich_geog",3
"173",32,-40.5,"rich_geog",3
"174",33,-39.5,"rich_geog",3
"175",34,-38.5,"rich_geog",3
"176",35,-37.5,"rich_geog",3
"177",36,-36.5,"rich_geog",3
"178",37,-35.5,"rich_geog",3
"179",38,-34.5,"rich_geog",3
"180",39,-33.5,"rich_geog",3
"181",40,-32.5,"rich_geog",3
"182",41,-31.5,"rich_geog",3
"183",42,-30.5,"rich_geog",3
"184",43,-29.5,"rich_geog",3
"185",44,-28.5,"rich_geog",3
"186",45,-27.5,"rich_geog",3
"187",46,-26.5,"rich_geog",3
"188",47,-25.5,"rich_geog",3
"189",48,-24.5,"rich_geog",3
"190",49,-23.5,"rich_geog",3
"191",50,-22.5,"rich_geog",4
"192",51,-21.5,"rich_geog",5
"193",52,-20.5,"rich_geog",5
"194",53,-19.5,"rich_geog",6
"195",54,-18.5,"rich_geog",7
"196",55,-17.5,"rich_geog",7
"197",56,-16.5,"rich_geog",7
"198",57,-15.5,"rich_geog",7
"199",58,-14.5,"rich_geog",7
"200",59,-13.5,"rich_geog",8
"201",60,-12.5,"rich_geog",8
"202",61,-11.5,"rich_geog",8
"203",62,-10.5,"rich_geog",9
"204",63,-9.5,"rich_geog",9
"205",64,-8.5,"rich_geog",9
"206",65,-7.5,"rich_geog",9
"207",66,-6.5,"rich_geog",9
"208",67,-5.5,"rich_geog",9
"209",68,-4.5,"rich_geog",10
"210",69,-3.5,"rich_geog",9
"211",70,-2.5,"rich_geog",9
"212",71,-1.5,"rich_geog",10
"213",72,-0.5,"rich_geog",10
"214",73,0.5,"rich_geog",9
"215",74,1.5,"rich_geog",9
"216",75,2.5,"rich_geog",10
"217",76,3.5,"rich_geog",11
"218",77,4.5,"rich_geog",12
"219",78,5.5,"rich_geog",12
"220",79,6.5,"rich_geog",13
"221",80,7.5,"rich_geog",13
"222",81,8.5,"rich_geog",15
"223",82,9.5,"rich_geog",16
"224",83,10.5,"rich_geog",20
"225",84,11.5,"rich_geog",22
"226",85,12.5,"rich_geog",26
"227",86,13.5,"rich_geog",29
"228",87,14.5,"rich_geog",31
"229",88,15.5,"rich_geog",33
"230",89,16.5,"rich_geog",35
"231",90,17.5,"rich_geog",36
"232",91,18.5,"rich_geog",37
"233",92,19.5,"rich_geog",37
"234",93,20.5,"rich_geog",37
"235",94,21.5,"rich_geog",38
"236",95,22.5,"rich_geog",38
"237",96,23.5,"rich_geog",36
"238",97,24.5,"rich_geog",35
"239",98,25.5,"rich_geog",35
"240",99,26.5,"rich_geog",32
"241",100,27.5,"rich_geog",33
"242",101,28.5,"rich_geog",23
"243",102,29.5,"rich_geog",22
"244",103,30.5,"rich_geog",21
"245",104,31.5,"rich_geog",16
"246",105,32.5,"rich_geog",12
"247",106,33.5,"rich_geog",12
"248",107,34.5,"rich_geog",12
"249",108,35.5,"rich_geog",12
"250",109,36.5,"rich_geog",12
"251",110,37.5,"rich_geog",12
"252",111,38.5,"rich_geog",11
"253",112,39.5,"rich_geog",10
"254",113,40.5,"rich_geog",10
"255",114,41.5,"rich_geog",10
"256",115,42.5,"rich_geog",9
"257",116,43.5,"rich_geog",9
"258",117,44.5,"rich_geog",8
"259",118,45.5,"rich_geog",8
"260",119,46.5,"rich_geog",7
"261",120,47.5,"rich_geog",5
