"","X1","y","variable","value"
"173",39,-36.5,"max_rich",14
"174",40,-35.5,"max_rich",15
"175",41,-34.5,"max_rich",14
"176",42,-33.5,"max_rich",14
"177",43,-32.5,"max_rich",16
"178",44,-31.5,"max_rich",16
"179",45,-30.5,"max_rich",15
"180",46,-29.5,"max_rich",15
"181",47,-28.5,"max_rich",16
"182",48,-27.5,"max_rich",16
"183",49,-26.5,"max_rich",16
"184",50,-25.5,"max_rich",16
"185",51,-24.5,"max_rich",16
"186",52,-23.5,"max_rich",17
"187",53,-22.5,"max_rich",16
"188",54,-21.5,"max_rich",15
"189",55,-20.5,"max_rich",15
"190",56,-19.5,"max_rich",15
"191",57,-18.5,"max_rich",16
"192",58,-17.5,"max_rich",16
"193",59,-16.5,"max_rich",16
"194",60,-15.5,"max_rich",16
"195",61,-14.5,"max_rich",16
"196",62,-13.5,"max_rich",18
"197",63,-12.5,"max_rich",18
"198",64,-11.5,"max_rich",18
"199",65,-10.5,"max_rich",18
"200",66,-9.5,"max_rich",18
"201",67,-8.5,"max_rich",19
"202",68,-7.5,"max_rich",19
"203",69,-6.5,"max_rich",19
"204",70,-5.5,"max_rich",19
"205",71,-4.5,"max_rich",19
"206",72,-3.5,"max_rich",19
"207",73,-2.5,"max_rich",19
"208",74,-1.5,"max_rich",20
"209",75,-0.5,"max_rich",20
"210",76,0.5,"max_rich",20
"211",77,1.5,"max_rich",21
"212",78,2.5,"max_rich",21
"213",79,3.5,"max_rich",21
"214",80,4.5,"max_rich",20
"215",81,5.5,"max_rich",21
"216",82,6.5,"max_rich",21
"217",83,7.5,"max_rich",21
"218",84,8.5,"max_rich",21
"219",85,9.5,"max_rich",20
"220",86,10.5,"max_rich",21
"221",87,11.5,"max_rich",20
"222",88,12.5,"max_rich",20
"223",89,13.5,"max_rich",20
"224",90,14.5,"max_rich",20
"225",91,15.5,"max_rich",19
"226",92,16.5,"max_rich",17
"227",93,17.5,"max_rich",17
"228",94,18.5,"max_rich",16
"229",95,19.5,"max_rich",16
"230",96,20.5,"max_rich",15
"231",97,21.5,"max_rich",15
"232",98,22.5,"max_rich",15
"233",99,23.5,"max_rich",15
"234",100,24.5,"max_rich",15
"235",101,25.5,"max_rich",14
"236",102,26.5,"max_rich",11
"237",103,27.5,"max_rich",11
"238",104,28.5,"max_rich",10
"239",105,29.5,"max_rich",9
"240",106,30.5,"max_rich",9
"241",107,31.5,"max_rich",8
"242",108,32.5,"max_rich",5
"243",109,33.5,"max_rich",5
"244",110,34.5,"max_rich",5
"245",111,35.5,"max_rich",4
"246",112,36.5,"max_rich",4
"247",113,37.5,"max_rich",3
"248",114,38.5,"max_rich",3
"249",115,39.5,"max_rich",4
"250",116,40.5,"max_rich",4
