depth,type,rich
2755,richness2d,3
2759,richness1d,6
2759,richness2d,1
2764,richness1d,6
2764,richness2d,5
2776,richness1d,6
2776,richness2d,4
2777,richness1d,6
2777,richness2d,5
2779,richness1d,6
2779,richness2d,5
2787,richness1d,6
2787,richness2d,1
2795,richness1d,6
2795,richness2d,3
2808,richness1d,5
2808,richness2d,1
2811,richness1d,5
2811,richness2d,3
2812,richness1d,5
2812,richness2d,1
2814,richness1d,5
2814,richness2d,2
2819,richness1d,5
2819,richness2d,3
2824,richness1d,5
2824,richness2d,1
2830,richness1d,5
2830,richness2d,1
2833,richness1d,5
2833,richness2d,4
2834,richness1d,5
2834,richness2d,3
2836,richness1d,5
2836,richness2d,1
2837,richness1d,5
2837,richness2d,4
2839,richness1d,5
2839,richness2d,1
2840,richness1d,5
2840,richness2d,3
2841,richness1d,5
2841,richness2d,1
2842,richness1d,5
2842,richness2d,4
2850,richness1d,5
2850,richness2d,3
2852,richness1d,5
2852,richness2d,4
2853,richness1d,5
2853,richness2d,3
2854,richness1d,5
2854,richness2d,4
2862,richness1d,5
2862,richness2d,1
2869,richness1d,5
2869,richness2d,2
2873,richness1d,5
2873,richness2d,3
2876,richness1d,5
2876,richness2d,1
2880,richness1d,5
2880,richness2d,2
2882,richness1d,5
2882,richness2d,1
2885,richness1d,5
2885,richness2d,3
2888,richness1d,5
2888,richness2d,4
2891,richness1d,5
2891,richness2d,2
2892,richness1d,5
2892,richness2d,4
2898,richness1d,5
2898,richness2d,3
2899,richness1d,5
2899,richness2d,3
2904,richness1d,5
2904,richness2d,2
2905,richness1d,5
2905,richness2d,4
2910,richness1d,5
2910,richness2d,4
2911,richness1d,5
2911,richness2d,2
2913,richness1d,5
2913,richness2d,4
2917,richness1d,5
2917,richness2d,3
2921,richness1d,5
2921,richness2d,1
2927,richness1d,5
2927,richness2d,2
2934,richness1d,5
2934,richness2d,1
2935,richness1d,5
2935,richness2d,4
2939,richness1d,5
2939,richness2d,1
2943,richness1d,5
2943,richness2d,1
2945,richness1d,5
2945,richness2d,3
2946,richness1d,5
2946,richness2d,3
2947,richness1d,5
2947,richness2d,3
2951,richness1d,5
2951,richness2d,1
2953,richness1d,5
2953,richness2d,1
2956,richness1d,5
2956,richness2d,1
2959,richness1d,5
2959,richness2d,1
2960,richness1d,5
2960,richness2d,2
2963,richness1d,5
2963,richness2d,4
2965,richness1d,5
2965,richness2d,2
2970,richness1d,5
2970,richness2d,2
2972,richness1d,5
2972,richness2d,4
2975,richness1d,5
2975,richness2d,1
2977,richness1d,5
2977,richness2d,3
2979,richness1d,5
2979,richness2d,1
2984,richness1d,5
2984,richness2d,4
2986,richness1d,5
2986,richness2d,4
2995,richness1d,5
2995,richness2d,1
2996,richness1d,5
2996,richness2d,1
2997,richness1d,5
2997,richness2d,1
3001,richness1d,5
3001,richness2d,1
3003,richness1d,5
3003,richness2d,4
3010,richness1d,5
3010,richness2d,1
3014,richness1d,5
3014,richness2d,3
3019,richness1d,5
3019,richness2d,3
3022,richness1d,5
3022,richness2d,3
3024,richness1d,5
3024,richness2d,4
3026,richness1d,5
3026,richness2d,4
3028,richness1d,5
3028,richness2d,1
3032,richness1d,5
3032,richness2d,4
3035,richness1d,5
3035,richness2d,3
3038,richness1d,5
3038,richness2d,3
3039,richness1d,5
3039,richness2d,1
3043,richness1d,5
3043,richness2d,1
3044,richness1d,5
3044,richness2d,4
3050,richness1d,5
3050,richness2d,2
3052,richness1d,5
3052,richness2d,3
3054,richness1d,5
3054,richness2d,1
3062,richness1d,5
3062,richness2d,4
3063,richness1d,5
3063,richness2d,1
3065,richness1d,5
3065,richness2d,1
3070,richness1d,5
3070,richness2d,1
3073,richness1d,5
3073,richness2d,3
3074,richness1d,5
3074,richness2d,1
3078,richness1d,5
3078,richness2d,1
3082,richness1d,5
3082,richness2d,1
3083,richness1d,5
3083,richness2d,2
3084,richness1d,5
3084,richness2d,4
3086,richness1d,5
3086,richness2d,3
3087,richness1d,5
3087,richness2d,1
3092,richness1d,5
3092,richness2d,3
3094,richness1d,5
3094,richness2d,1
3097,richness1d,5
3097,richness2d,4
3098,richness1d,5
3098,richness2d,1
3101,richness1d,5
3101,richness2d,1
3102,richness1d,5
3102,richness2d,3
3104,richness1d,5
3104,richness2d,2
3106,richness1d,5
3106,richness2d,4
3107,richness1d,5
3107,richness2d,2
3109,richness1d,5
3109,richness2d,1
3111,richness1d,5
3111,richness2d,2
3113,richness1d,5
3113,richness2d,4
3116,richness1d,5
3116,richness2d,1
3119,richness1d,5
3119,richness2d,4
3121,richness1d,5
3121,richness2d,3
3122,richness1d,5
3122,richness2d,2
3124,richness1d,5
3124,richness2d,1
3125,richness1d,5
3125,richness2d,1
3128,richness1d,5
3128,richness2d,4
3132,richness1d,5
3132,richness2d,1
3133,richness1d,5
3133,richness2d,4
3136,richness1d,5
3136,richness2d,3
3137,richness1d,5
3137,richness2d,2
3140,richness1d,5
3140,richness2d,2
3141,richness1d,5
3141,richness2d,2
3143,richness1d,5
3143,richness2d,3
3145,richness1d,5
3145,richness2d,1
3146,richness1d,5
3146,richness2d,4
3147,richness1d,5
3147,richness2d,3
3151,richness1d,5
3151,richness2d,4
3162,richness1d,5
3162,richness2d,4
3163,richness1d,5
3163,richness2d,3
3165,richness1d,5
3165,richness2d,1
3166,richness1d,5
3166,richness2d,4
3170,richness1d,5
3170,richness2d,2
3171,richness1d,5
3171,richness2d,4
3172,richness1d,5
3172,richness2d,2
3177,richness1d,5
3177,richness2d,3
3178,richness1d,5
3178,richness2d,1
3183,richness1d,4
3183,richness2d,3
3187,richness1d,4
3187,richness2d,1
3188,richness1d,4
3188,richness2d,2
3191,richness1d,4
3191,richness2d,2
3200,richness1d,4
3200,richness2d,3
3205,richness1d,4
3205,richness2d,1
3207,richness1d,4
3207,richness2d,1
3209,richness1d,4
3209,richness2d,1
3214,richness1d,4
3214,richness2d,4
3216,richness1d,4
3216,richness2d,3
3224,richness1d,4
3224,richness2d,3
3226,richness1d,4
3226,richness2d,4
3227,richness1d,4
3227,richness2d,4
3228,richness1d,4
3228,richness2d,2
3229,richness1d,4
3229,richness2d,1
3232,richness1d,4
3232,richness2d,3
3235,richness1d,4
3235,richness2d,2
3238,richness1d,4
3238,richness2d,3
3239,richness1d,4
3239,richness2d,3
3240,richness1d,4
3240,richness2d,1
3241,richness1d,4
3241,richness2d,1
3245,richness1d,4
3245,richness2d,3
3246,richness1d,4
3246,richness2d,1
3248,richness1d,4
3248,richness2d,4
3249,richness1d,4
3249,richness2d,3
3251,richness1d,4
3251,richness2d,1
3253,richness1d,4
3253,richness2d,3
3255,richness1d,4
3255,richness2d,4
3265,richness1d,4
3265,richness2d,4
3266,richness1d,4
3266,richness2d,4
3267,richness1d,4
3267,richness2d,4
3268,richness1d,4
3268,richness2d,4
3269,richness1d,4
3269,richness2d,1
3273,richness1d,4
3273,richness2d,4
3274,richness1d,4
3274,richness2d,1
3276,richness1d,4
3276,richness2d,2
3277,richness1d,4
3277,richness2d,4
3279,richness1d,4
3279,richness2d,1
3283,richness1d,4
3283,richness2d,3
3284,richness1d,4
3284,richness2d,2
3285,richness1d,4
3285,richness2d,3
3287,richness1d,4
3287,richness2d,4
3288,richness1d,4
3288,richness2d,3
3290,richness1d,4
3290,richness2d,3
3294,richness1d,4
3294,richness2d,1
3296,richness1d,4
3296,richness2d,3
3298,richness1d,4
3298,richness2d,3
3299,richness1d,4
3299,richness2d,1
3302,richness1d,4
3302,richness2d,4
3303,richness1d,4
3303,richness2d,1
3304,richness1d,4
3304,richness2d,3
3305,richness1d,4
3305,richness2d,1
3306,richness1d,4
3306,richness2d,1
3308,richness1d,4
3308,richness2d,3
3312,richness1d,4
3312,richness2d,4
3313,richness1d,4
3313,richness2d,4
3316,richness1d,4
3316,richness2d,2
3318,richness1d,4
3318,richness2d,4
3323,richness1d,4
3323,richness2d,4
3325,richness1d,4
3325,richness2d,3
3330,richness1d,4
3330,richness2d,4
3331,richness1d,4
3331,richness2d,3
3332,richness1d,4
3332,richness2d,4
3333,richness1d,4
3333,richness2d,1
3336,richness1d,4
3336,richness2d,1
3345,richness1d,4
3345,richness2d,3
3348,richness1d,4
3348,richness2d,3
3355,richness1d,4
3355,richness2d,4
3357,richness1d,4
3357,richness2d,2
3359,richness1d,4
3359,richness2d,3
3360,richness1d,4
3360,richness2d,3
3362,richness1d,4
3362,richness2d,2
3365,richness1d,4
3365,richness2d,4
3366,richness1d,4
3366,richness2d,4
3369,richness1d,4
3369,richness2d,1
3371,richness1d,4
3371,richness2d,3
3374,richness1d,4
3374,richness2d,4
3376,richness1d,4
3376,richness2d,1
3378,richness1d,4
3378,richness2d,1
3382,richness1d,4
3382,richness2d,1
3383,richness1d,4
3383,richness2d,1
3385,richness1d,4
3385,richness2d,4
3391,richness1d,4
3391,richness2d,3
3393,richness1d,4
3393,richness2d,2
3394,richness1d,4
3394,richness2d,4
3395,richness1d,4
3395,richness2d,4
3397,richness1d,4
3397,richness2d,1
3398,richness1d,4
3398,richness2d,2
3400,richness1d,4
3400,richness2d,4
3401,richness1d,4
3401,richness2d,4
3403,richness1d,4
3403,richness2d,3
3405,richness1d,4
3405,richness2d,4
3408,richness1d,4
3408,richness2d,1
3410,richness1d,4
3410,richness2d,2
3411,richness1d,4
3411,richness2d,1
3412,richness1d,4
3412,richness2d,4
3415,richness1d,4
3415,richness2d,3
3420,richness1d,4
3420,richness2d,4
3422,richness1d,4
3422,richness2d,3
3423,richness1d,4
3423,richness2d,4
3425,richness1d,4
3425,richness2d,4
3426,richness1d,4
3426,richness2d,3
3427,richness1d,4
3427,richness2d,1
3429,richness1d,4
3429,richness2d,3
3431,richness1d,4
3431,richness2d,1
3432,richness1d,4
3432,richness2d,4
3434,richness1d,4
3434,richness2d,2
3435,richness1d,4
3435,richness2d,1
3437,richness1d,4
3437,richness2d,4
3439,richness1d,4
3439,richness2d,2
3440,richness1d,4
3440,richness2d,1
3445,richness1d,4
3445,richness2d,4
3447,richness1d,4
3447,richness2d,4
3448,richness1d,4
3448,richness2d,4
3449,richness1d,4
3449,richness2d,2
3450,richness1d,4
3450,richness2d,2
3452,richness1d,4
3452,richness2d,3
3456,richness1d,4
3456,richness2d,2
3462,richness1d,4
3462,richness2d,1
3463,richness1d,4
3463,richness2d,1
3466,richness1d,4
3466,richness2d,1
3468,richness1d,4
3468,richness2d,2
3469,richness1d,4
3469,richness2d,1
3472,richness1d,4
3472,richness2d,1
3474,richness1d,4
3474,richness2d,1
3475,richness1d,4
3475,richness2d,1
3482,richness1d,4
3482,richness2d,4
3483,richness1d,4
3483,richness2d,3
3485,richness1d,4
3485,richness2d,3
3486,richness1d,4
3486,richness2d,4
3487,richness1d,4
3487,richness2d,4
3489,richness1d,4
3489,richness2d,1
3490,richness1d,4
3490,richness2d,3
3492,richness1d,4
3492,richness2d,3
3495,richness1d,4
3495,richness2d,3
3496,richness1d,4
3496,richness2d,4
3497,richness1d,4
3497,richness2d,4
3498,richness1d,4
3498,richness2d,4
3499,richness1d,4
3499,richness2d,2
3500,richness1d,4
3500,richness2d,4
3501,richness1d,4
3501,richness2d,4
3502,richness1d,4
3502,richness2d,4
3503,richness1d,4
3503,richness2d,4
3505,richness1d,4
3505,richness2d,4
3506,richness1d,4
3506,richness2d,2
3507,richness1d,4
3507,richness2d,2
3508,richness1d,4
3508,richness2d,3
3509,richness1d,4
3509,richness2d,3
3510,richness1d,4
3510,richness2d,2
3511,richness1d,4
3511,richness2d,4
3512,richness1d,4
3512,richness2d,1
3514,richness1d,4
3514,richness2d,2
3518,richness1d,4
3518,richness2d,1
3519,richness1d,4
3519,richness2d,1
3520,richness1d,4
3520,richness2d,1
3523,richness1d,4
3523,richness2d,3
3525,richness1d,4
3525,richness2d,4
3526,richness1d,4
3526,richness2d,2
3527,richness1d,4
3527,richness2d,2
3528,richness1d,4
3528,richness2d,1
3529,richness1d,4
3529,richness2d,1
3530,richness1d,4
3530,richness2d,3
3535,richness1d,4
3535,richness2d,4
3537,richness1d,4
3537,richness2d,2
3539,richness1d,4
3539,richness2d,1
3541,richness1d,4
3541,richness2d,1
3544,richness1d,4
3544,richness2d,1
3546,richness1d,4
3546,richness2d,4
3548,richness1d,4
3548,richness2d,3
3550,richness1d,4
3550,richness2d,3
3551,richness1d,4
3551,richness2d,4
3552,richness1d,4
3552,richness2d,4
3553,richness1d,4
3553,richness2d,4
3554,richness1d,4
3554,richness2d,1
3555,richness1d,4
3555,richness2d,3
3556,richness1d,4
3556,richness2d,1
3558,richness1d,4
3558,richness2d,3
3563,richness1d,4
3563,richness2d,4
3565,richness1d,4
3565,richness2d,1
3566,richness1d,4
3566,richness2d,1
3567,richness1d,4
3567,richness2d,1
3568,richness1d,4
3568,richness2d,3
3574,richness1d,4
3574,richness2d,3
3575,richness1d,4
3575,richness2d,4
3578,richness1d,4
3578,richness2d,3
3581,richness1d,4
3581,richness2d,1
3583,richness1d,4
3583,richness2d,4
3585,richness1d,4
3585,richness2d,2
3586,richness1d,4
3586,richness2d,1
3587,richness1d,4
3587,richness2d,3
3589,richness1d,4
3589,richness2d,4
3596,richness1d,4
3596,richness2d,1
3597,richness1d,4
3597,richness2d,2
3598,richness1d,4
3598,richness2d,1
3601,richness1d,4
3601,richness2d,3
3603,richness1d,4
3603,richness2d,1
3606,richness1d,4
3606,richness2d,1
3608,richness1d,4
3608,richness2d,2
3611,richness1d,4
3611,richness2d,3
3612,richness1d,4
3612,richness2d,2
3613,richness1d,4
3613,richness2d,4
3617,richness1d,4
3617,richness2d,1
3618,richness1d,4
3618,richness2d,1
3619,richness1d,4
3619,richness2d,1
3620,richness1d,4
3620,richness2d,2
3622,richness1d,4
3622,richness2d,2
3623,richness1d,4
3623,richness2d,2
3624,richness1d,4
3624,richness2d,4
3628,richness1d,4
3628,richness2d,4
3629,richness1d,4
3629,richness2d,1
3630,richness1d,4
3630,richness2d,1
3635,richness1d,4
3635,richness2d,2
3636,richness1d,4
3636,richness2d,2
3637,richness1d,4
3637,richness2d,3
3638,richness1d,4
3638,richness2d,3
3639,richness1d,4
3639,richness2d,1
3641,richness1d,4
3641,richness2d,4
3643,richness1d,4
3643,richness2d,1
3646,richness1d,4
3646,richness2d,1
3647,richness1d,4
3647,richness2d,2
3648,richness1d,4
3648,richness2d,2
3649,richness1d,4
3649,richness2d,3
3650,richness1d,4
3650,richness2d,1
3651,richness1d,4
3651,richness2d,4
3654,richness1d,4
3654,richness2d,4
3656,richness1d,4
3656,richness2d,4
3657,richness1d,4
3657,richness2d,4
3659,richness1d,4
3659,richness2d,1
3660,richness1d,4
3660,richness2d,1
3662,richness1d,4
3662,richness2d,4
3666,richness1d,4
3666,richness2d,2
3668,richness1d,4
3668,richness2d,4
3669,richness1d,4
3669,richness2d,3
3671,richness1d,4
3671,richness2d,4
3672,richness1d,4
3672,richness2d,1
3674,richness1d,4
3674,richness2d,2
3675,richness1d,4
3675,richness2d,1
3677,richness1d,4
3677,richness2d,4
3678,richness1d,4
3678,richness2d,4
3679,richness1d,4
3679,richness2d,4
3681,richness1d,4
3681,richness2d,1
3682,richness1d,4
3682,richness2d,3
3683,richness1d,4
3683,richness2d,2
3684,richness1d,4
3684,richness2d,1
3686,richness1d,4
3686,richness2d,4
3688,richness1d,4
3688,richness2d,1
3689,richness1d,4
3689,richness2d,4
3693,richness1d,4
3693,richness2d,4
3694,richness1d,4
3694,richness2d,4
3695,richness1d,4
3695,richness2d,4
3696,richness1d,4
3696,richness2d,4
3698,richness1d,4
3698,richness2d,1
3699,richness1d,4
3699,richness2d,3
3700,richness1d,4
3700,richness2d,1
3701,richness1d,4
3701,richness2d,2
3703,richness1d,4
3703,richness2d,4
3705,richness1d,4
3705,richness2d,2
3706,richness1d,4
3706,richness2d,1
3707,richness1d,4
3707,richness2d,4
3709,richness1d,4
3709,richness2d,3
3710,richness1d,4
3710,richness2d,1
3712,richness1d,4
3712,richness2d,2
3719,richness1d,4
3719,richness2d,2
3720,richness1d,4
3720,richness2d,4
3721,richness1d,4
3721,richness2d,1
3722,richness1d,4
3722,richness2d,1
3723,richness1d,4
3723,richness2d,1
3725,richness1d,4
3725,richness2d,1
3728,richness1d,4
3728,richness2d,1
3729,richness1d,4
3729,richness2d,4
3730,richness1d,4
3730,richness2d,1
3731,richness1d,4
3731,richness2d,1
3732,richness1d,4
3732,richness2d,4
3733,richness1d,4
3733,richness2d,3
3737,richness1d,4
3737,richness2d,3
3738,richness1d,4
3738,richness2d,4
3740,richness1d,4
3740,richness2d,4
3741,richness1d,4
3741,richness2d,2
3742,richness1d,4
3742,richness2d,3
3743,richness1d,4
3743,richness2d,1
3744,richness1d,4
3744,richness2d,2
3745,richness1d,4
3745,richness2d,3
3747,richness1d,4
3747,richness2d,2
3749,richness1d,4
3749,richness2d,4
3751,richness1d,4
3751,richness2d,3
3752,richness1d,4
3752,richness2d,3
3753,richness1d,4
3753,richness2d,3
3754,richness1d,4
3754,richness2d,4
3756,richness1d,4
3756,richness2d,2
3757,richness1d,4
3757,richness2d,1
3758,richness1d,4
3758,richness2d,2
3760,richness1d,4
3760,richness2d,4
3768,richness1d,4
3768,richness2d,3
3769,richness1d,4
3769,richness2d,1
3770,richness1d,4
3770,richness2d,1
3772,richness1d,4
3772,richness2d,2
3773,richness1d,4
3773,richness2d,4
3774,richness1d,4
3774,richness2d,1
3775,richness1d,4
3775,richness2d,3
3777,richness1d,4
3777,richness2d,4
3778,richness1d,4
3778,richness2d,2
3779,richness1d,4
3779,richness2d,1
3782,richness1d,4
3782,richness2d,1
3785,richness1d,4
3785,richness2d,4
3786,richness1d,4
3786,richness2d,4
3788,richness1d,4
3788,richness2d,4
3791,richness1d,4
3791,richness2d,3
3793,richness1d,4
3793,richness2d,3
3795,richness1d,4
3795,richness2d,1
3799,richness1d,4
3799,richness2d,1
3800,richness1d,4
3800,richness2d,2
3801,richness1d,4
3801,richness2d,1
3802,richness1d,4
3802,richness2d,2
3803,richness1d,4
3803,richness2d,4
3804,richness1d,4
3804,richness2d,2
3805,richness1d,4
3805,richness2d,4
3807,richness1d,4
3807,richness2d,4
3812,richness1d,4
3812,richness2d,4
3815,richness1d,4
3815,richness2d,4
3816,richness1d,4
3816,richness2d,4
3817,richness1d,4
3817,richness2d,2
3821,richness1d,4
3821,richness2d,4
3822,richness1d,4
3822,richness2d,1
3824,richness1d,4
3824,richness2d,4
3825,richness1d,4
3825,richness2d,3
3828,richness1d,4
3828,richness2d,3
3829,richness1d,4
3829,richness2d,2
3830,richness1d,4
3830,richness2d,4
3831,richness1d,4
3831,richness2d,3
3833,richness1d,4
3833,richness2d,3
3834,richness1d,4
3834,richness2d,2
3835,richness1d,4
3835,richness2d,4
3836,richness1d,4
3836,richness2d,4
3837,richness1d,4
3837,richness2d,4
3838,richness1d,4
3838,richness2d,3
3839,richness1d,4
3839,richness2d,4
3840,richness1d,4
3840,richness2d,4
3841,richness1d,4
3841,richness2d,1
3843,richness1d,4
3843,richness2d,1
3845,richness1d,4
3845,richness2d,1
3846,richness1d,4
3846,richness2d,4
3847,richness1d,4
3847,richness2d,1
3849,richness1d,4
3849,richness2d,1
3850,richness1d,4
3850,richness2d,4
3851,richness1d,4
3851,richness2d,2
3852,richness1d,4
3852,richness2d,3
3853,richness1d,4
3853,richness2d,2
3854,richness1d,4
3854,richness2d,3
3855,richness1d,4
3855,richness2d,1
3856,richness1d,4
3856,richness2d,4
3861,richness1d,4
3861,richness2d,3
3862,richness1d,4
3862,richness2d,1
3865,richness1d,4
3865,richness2d,3
3868,richness1d,4
3868,richness2d,3
3869,richness1d,4
3869,richness2d,1
3870,richness1d,4
3870,richness2d,4
3874,richness1d,4
3874,richness2d,3
3875,richness1d,4
3875,richness2d,4
3879,richness1d,4
3879,richness2d,2
3882,richness1d,4
3882,richness2d,2
3883,richness1d,4
3883,richness2d,4
3885,richness1d,4
3885,richness2d,4
3887,richness1d,4
3887,richness2d,4
3888,richness1d,4
3888,richness2d,4
3889,richness1d,4
3889,richness2d,4
3890,richness1d,4
3890,richness2d,3
3891,richness1d,4
3891,richness2d,4
3892,richness1d,4
3892,richness2d,1
3893,richness1d,4
3893,richness2d,1
3894,richness1d,4
3894,richness2d,4
3895,richness1d,4
3895,richness2d,1
3898,richness1d,4
3898,richness2d,4
3900,richness1d,4
3900,richness2d,3
3901,richness1d,4
3901,richness2d,4
3903,richness1d,4
3903,richness2d,4
3904,richness1d,4
3904,richness2d,3
3905,richness1d,4
3905,richness2d,2
