"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"48","pac","depth","depth_range","Lillipathes wingi",1775.4,3.44836616970072,NA,NA,NA,NA,NA,NA,NA
"49","pac","depth","depth_planar_range","Myriopathes bifaria",77.5,13.0071245850357,NA,NA,NA,NA,NA,NA,NA
"50","pac","depth","depth_range","Myriopathes bifaria",77.5,2.16136800223497,NA,NA,NA,NA,NA,NA,NA
"51","pac","depth","depth_planar_range","Myriopathes japonica",177.5,13.4327828114477,NA,NA,NA,NA,NA,NA,NA
"52","pac","depth","depth_range","Myriopathes japonica",177.5,2.53781909507327,NA,NA,NA,NA,NA,NA,NA
"53","pac","depth","depth_planar_range","Myriopathes myriophylla",196.75,13.6727085420142,NA,NA,NA,NA,NA,NA,NA
"54","pac","depth","depth_range","Myriopathes myriophylla",196.75,2.58714949825434,NA,NA,NA,NA,NA,NA,NA
"55","pac","depth","depth_planar_range","Myriopathes panamensis",76.25,12.8694061494215,NA,NA,NA,NA,NA,NA,NA
"56","pac","depth","depth_range","Myriopathes panamensis",76.25,2.14457420760962,NA,NA,NA,NA,NA,NA,NA
"57","pac","depth","depth_planar_range","Myriopathes ulex",233.5,13.8992961428469,NA,NA,NA,NA,NA,NA,NA
"58","pac","depth","depth_range","Myriopathes ulex",233.5,2.65030752313194,NA,NA,NA,NA,NA,NA,NA
"59","pac","depth","depth_planar_range","Parantipathes helicosticha",902.25,13.5568134528702,NA,NA,NA,NA,NA,NA,NA
"60","pac","depth","depth_range","Parantipathes helicosticha",902.25,3.05480450022095,NA,NA,NA,NA,NA,NA,NA
"61","pac","depth","depth_planar_range","pseudocirrhipathes mapia",244.5,13.2910544457856,NA,NA,NA,NA,NA,NA,NA
"62","pac","depth","depth_range","pseudocirrhipathes mapia",244.5,2.62838893005031,NA,NA,NA,NA,NA,NA,NA
"63","pac","depth","depth_planar_range","Rhipidipathes reticulata",109.25,13.3476743643841,NA,NA,NA,NA,NA,NA,NA
"64","pac","depth","depth_range","Rhipidipathes reticulata",109.25,2.32531037171106,NA,NA,NA,NA,NA,NA,NA
"65","pac","depth","depth_planar_range","Schizopathes affinis",3249.5,13.9880634250325,NA,NA,NA,NA,NA,NA,NA
"66","pac","depth","depth_range","Schizopathes affinis",3249.5,3.52465571235778,NA,NA,NA,NA,NA,NA,NA
"67","pac","depth","depth_planar_range","Stauropathes staurocrada",976,13.0918749349654,NA,NA,NA,NA,NA,NA,NA
"68","pac","depth","depth_range","Stauropathes staurocrada",976,3.28555730900777,NA,NA,NA,NA,NA,NA,NA
"69","pac","depth","depth_planar_range","Stichopathes spiessi",1083.66,14.0351899094011,NA,NA,NA,NA,NA,NA,NA
"70","pac","depth","depth_range","Stichopathes spiessi",1083.66,3.15755346873456,NA,NA,NA,NA,NA,NA,NA
