lat,type,rich
9.5,richness_lat,33
10.5,rich_2d,6
10.5,max_rich,21
10.5,richness_lat,32
11.5,rich_2d,7
11.5,max_rich,20
11.5,richness_lat,32
12.5,rich_2d,9
12.5,max_rich,20
12.5,richness_lat,32
13.5,rich_2d,5
13.5,max_rich,20
13.5,richness_lat,32
14.5,rich_2d,5
14.5,max_rich,20
14.5,richness_lat,31
15.5,rich_2d,4
15.5,max_rich,19
15.5,richness_lat,31
16.5,rich_2d,6
16.5,max_rich,17
16.5,richness_lat,30
17.5,rich_2d,5
17.5,max_rich,17
17.5,richness_lat,30
18.5,rich_2d,6
18.5,max_rich,16
18.5,richness_lat,30
19.5,rich_2d,6
19.5,max_rich,16
19.5,richness_lat,30
20.5,rich_2d,8
20.5,max_rich,15
20.5,richness_lat,31
21.5,rich_2d,6
21.5,max_rich,15
21.5,richness_lat,30
22.5,rich_2d,5
22.5,max_rich,15
22.5,richness_lat,29
23.5,rich_2d,5
23.5,max_rich,15
23.5,richness_lat,29
24.5,rich_2d,4
24.5,max_rich,15
24.5,richness_lat,29
25.5,rich_2d,6
25.5,max_rich,14
25.5,richness_lat,28
26.5,rich_2d,4
26.5,max_rich,11
26.5,richness_lat,21
27.5,rich_2d,4
27.5,max_rich,11
27.5,richness_lat,21
28.5,rich_2d,5
28.5,max_rich,10
28.5,richness_lat,21
29.5,rich_2d,4
29.5,max_rich,9
29.5,richness_lat,20
30.5,rich_2d,5
30.5,max_rich,9
30.5,richness_lat,18
31.5,rich_2d,5
31.5,max_rich,8
31.5,richness_lat,16
32.5,rich_2d,5
32.5,max_rich,5
32.5,richness_lat,16
33.5,rich_2d,3
33.5,max_rich,5
33.5,richness_lat,12
34.5,rich_2d,3
34.5,max_rich,5
34.5,richness_lat,12
35.5,rich_2d,3
35.5,max_rich,4
35.5,richness_lat,6
36.5,rich_2d,2
36.5,max_rich,4
36.5,richness_lat,5
37.5,rich_2d,2
37.5,max_rich,3
37.5,richness_lat,5
38.5,rich_2d,2
38.5,max_rich,3
38.5,richness_lat,4
39.5,rich_2d,2
39.5,max_rich,4
39.5,richness_lat,5
40.5,rich_2d,3
40.5,max_rich,4
40.5,richness_lat,4
41.5,rich_2d,2
41.5,max_rich,4
41.5,richness_lat,4
42.5,rich_2d,2
42.5,max_rich,4
42.5,richness_lat,4
43.5,rich_2d,2
43.5,max_rich,4
43.5,richness_lat,5
44.5,rich_2d,3
44.5,max_rich,4
44.5,richness_lat,5
45.5,rich_2d,3
45.5,max_rich,4
45.5,richness_lat,5
46.5,rich_2d,3
46.5,max_rich,4
46.5,richness_lat,5
47.5,rich_2d,3
47.5,max_rich,4
47.5,richness_lat,5
48.5,rich_2d,2
48.5,max_rich,4
48.5,richness_lat,5
49.5,rich_2d,2
49.5,max_rich,5
49.5,richness_lat,5
50.5,rich_2d,4
50.5,max_rich,5
50.5,richness_lat,5
51.5,rich_2d,2
51.5,max_rich,5
51.5,richness_lat,5
52.5,rich_2d,2
52.5,max_rich,5
52.5,richness_lat,5
53.5,rich_2d,2
53.5,max_rich,5
53.5,richness_lat,5
54.5,rich_2d,2
54.5,max_rich,5
54.5,richness_lat,5
55.5,rich_2d,2
55.5,max_rich,4
55.5,richness_lat,5
56.5,rich_2d,2
56.5,max_rich,3
56.5,richness_lat,3
57.5,rich_2d,1
57.5,max_rich,2
57.5,richness_lat,2
58.5,rich_2d,1
58.5,max_rich,2
58.5,richness_lat,2
