target_fid,rich_2d,x,y,depth
547,1,51.5,-64.5,2891.5
548,1,52.5,-64.5,3955.999756
549,1,53.5,-64.5,3441.5
550,1,54.5,-64.5,3883
551,1,55.5,-64.5,4031.5
552,1,56.5,-64.5,4063
553,1,57.5,-64.5,3988
554,1,58.5,-64.5,3978
555,1,59.5,-64.5,4093.5
556,1,60.5,-64.5,4234.5
557,1,61.5,-64.5,3932
558,1,62.5,-64.5,3597.75
559,1,63.5,-64.5,3705.5
560,1,64.5,-64.5,3905.5
561,1,65.5,-64.5,3775.75
562,1,66.5,-64.5,3497
563,1,67.5,-64.5,3374
564,1,68.5,-64.5,3190
565,1,69.5,-64.5,3131
566,1,70.5,-64.5,3295
567,1,71.5,-64.5,3312
568,1,72.5,-64.5,3538.75
569,1,73.5,-64.5,3616.75
570,1,74.5,-64.5,3455
571,1,75.5,-64.5,3430.75
572,1,76.5,-64.5,3478
573,1,77.5,-64.5,3560.75
574,1,78.5,-64.5,3589.75
575,1,79.5,-64.5,3585
576,1,80.5,-64.5,3541
577,1,81.5,-64.5,3579.75
578,1,82.5,-64.5,3538.75
579,1,83.5,-64.5,3517.75
580,1,84.5,-64.5,3570.75
581,1,85.5,-64.5,3523
582,1,86.5,-64.5,3507.75
583,1,87.5,-64.5,3387
584,1,88.5,-64.5,3672
585,1,89.5,-64.5,3721
586,1,90.5,-64.5,3460.5
587,1,91.5,-64.5,3000
588,1,92.5,-64.5,2977.75
589,1,93.5,-64.5,2731.5
590,1,94.5,-64.5,2115.75
595,1,99.5,-64.5,626.5
598,1,102.5,-64.5,1551.75
599,1,103.5,-64.5,822.250061
600,1,104.5,-64.5,2072.749512
601,1,105.5,-64.5,2005.250122
602,1,106.5,-64.5,2619.25
603,1,107.5,-64.5,3216.75
604,1,108.5,-64.5,2988.75
605,1,109.5,-64.5,3146
606,1,110.5,-64.5,2721.25
607,1,111.5,-64.5,2764.75
608,1,112.5,-64.5,2291.75
609,1,113.5,-64.5,2396.999756
610,1,114.5,-64.5,1861
611,1,115.5,-64.5,2116
612,1,116.5,-64.5,2107.25
613,1,117.5,-64.5,2673.75
614,1,118.5,-64.5,3148
615,1,119.5,-64.5,3184.5
616,1,120.5,-64.5,3355.75
617,1,121.5,-64.5,2983.5
618,1,122.5,-64.5,2621.5
619,1,123.5,-64.5,2914.25
620,1,124.5,-64.5,2499.25
621,1,125.5,-64.5,3353.25
622,1,126.5,-64.5,2920.25
647,1,22.5,-63.5,4962.75
648,1,23.5,-63.5,5005.75
649,1,24.5,-63.5,4975.5
650,1,25.5,-63.5,5057.75
651,1,26.5,-63.5,5092
652,1,27.5,-63.5,5135
653,1,28.5,-63.5,5122
654,1,29.5,-63.5,5096
655,1,30.5,-63.5,5123.75
656,1,31.5,-63.5,5087.5
657,1,32.5,-63.5,5044.75
658,1,33.5,-63.5,5069
659,1,34.5,-63.5,5139
660,1,35.5,-63.5,5045.75
661,1,36.5,-63.5,5098
662,1,37.5,-63.5,5036.25
663,1,38.5,-63.5,4997
664,1,39.5,-63.5,5003.5
665,1,40.5,-63.5,4866.5
666,1,41.5,-63.5,4798
667,1,42.5,-63.5,4829.75
668,1,43.5,-63.5,4881
669,1,44.5,-63.5,4760.25
670,1,45.5,-63.5,4460.5
671,1,46.5,-63.5,4315.25
672,1,47.5,-63.5,4579.25
673,1,48.5,-63.5,4765.25
674,1,49.5,-63.5,4752
675,1,50.5,-63.5,4723.25
676,1,51.5,-63.5,4780.5
677,1,52.5,-63.5,4616.5
678,1,53.5,-63.5,4645.25
679,1,54.5,-63.5,4691.5
680,1,55.5,-63.5,4843
681,1,56.5,-63.5,4760.25
682,1,57.5,-63.5,4667.75
683,1,58.5,-63.5,4521.5
684,1,59.5,-63.5,4298.5
685,1,60.5,-63.5,4381.5
686,1,61.5,-63.5,4451.25
687,1,62.5,-63.5,4152.75
688,1,63.5,-63.5,4072
689,1,64.5,-63.5,4198.75
690,1,65.5,-63.5,4053
691,1,66.5,-63.5,3984.25
692,1,67.5,-63.5,3833.25
693,1,68.5,-63.5,3756.25
694,1,69.5,-63.5,3729.5
695,1,70.5,-63.5,3746.75
696,1,71.5,-63.5,3771
697,1,72.5,-63.5,3808
698,1,73.5,-63.5,3816.25
699,1,74.5,-63.5,3784
700,1,75.5,-63.5,3697
701,1,76.5,-63.5,3694
702,1,77.5,-63.5,3705.75
703,1,78.5,-63.5,3663.75
704,1,79.5,-63.5,3904.25
705,1,80.5,-63.5,3033.25
706,1,81.5,-63.5,3469.5
707,1,82.5,-63.5,2689.25
708,1,83.5,-63.5,2936.25
