TARGET_FID,richness,depth,x,y
-6818,1,5380.5,176.5,32.5
-6815,1,5165.5,173.5,32.5
-6814,2,4033.75,172.5,32.5
-6814,2,4033.75,172.5,32.5
-6812,1,4927.5,170.5,32.5
-6801,1,5184.25,160.5,32.5
-6800,2,4139.25,159.5,32.5
-6800,2,4139.25,159.5,32.5
-6799,3,2493.5,158.5,32.5
-6799,3,2493.5,158.5,32.5
-6799,3,2493.5,158.5,32.5
-6798,2,3017.000244,157.5,32.5
-6798,2,3017.000244,157.5,32.5
-6797,2,4529,155.5,32.5
-6797,2,4708.25,156.5,32.5
-6796,1,4852.75,154.5,32.5
-6789,1,5252.000488,148.5,32.5
-6782,1,2228.500244,140.5,32.5
-6780,3,701.5002441,139.5,32.5
-6780,3,701.5002441,139.5,32.5
-6780,3,701.5002441,139.5,32.5
-6775,1,973.249939,133.5,32.5
-6774,1,1327.750244,132.5,32.5
-6771,2,9.750013351,130.5,32.5
-6771,2,9.750013351,130.5,32.5
-6770,4,101,129.5,32.5
-6770,4,101,129.5,32.5
-6770,4,101,129.5,32.5
-6770,4,101,129.5,32.5
-6769,4,289.7500916,128.5,32.5
-6769,4,289.7500916,128.5,32.5
-6769,4,289.7500916,128.5,32.5
-6769,4,289.7500916,128.5,32.5
-6768,5,139,127.5,32.5
-6768,5,111,126.5,32.5
-6768,5,139,127.5,32.5
-6768,5,139,127.5,32.5
-6768,5,139,127.5,32.5
-6767,2,111,126.5,32.5
-6767,2,111,126.5,32.5
-6761,1,5250.5,178.5,31.5
-6758,1,5328.75,177.5,31.5
-6755,1,5315,176.5,31.5
-6754,1,5201.25,174.5,31.5
-6738,2,3844.750244,159.5,31.5
-6738,2,3844.750244,159.5,31.5
-6737,2,3227.500244,158.5,31.5
-6737,2,3227.500244,158.5,31.5
-6736,2,3891,157.5,31.5
-6736,2,3891,157.5,31.5
-6735,2,4322.25,156.5,31.5
-6735,2,4322.25,156.5,31.5
-6734,1,4922,155.5,31.5
-6719,2,2013.499878,140.5,31.5
-6719,2,2013.499878,140.5,31.5
-6718,3,1252.25,139.5,31.5
-6718,3,1252.25,139.5,31.5
-6718,3,1252.25,139.5,31.5
-6711,1,2337.500244,132.5,31.5
-6710,4,120.4999695,131.5,31.5
-6710,4,120.4999695,131.5,31.5
-6710,4,120.4999695,131.5,31.5
-6710,4,120.4999695,131.5,31.5
-6708,2,703.75,129.5,31.5
-6708,2,703.75,129.5,31.5
-6707,2,529.249939,128.5,31.5
-6707,2,529.249939,128.5,31.5
-6706,5,133.2499847,127.5,31.5
-6706,5,133.2499847,127.5,31.5
-6706,5,133.2499847,127.5,31.5
-6706,5,133.2499847,127.5,31.5
-6706,5,133.2499847,127.5,31.5
-6705,3,85.24999237,126.5,31.5
-6705,3,85.24999237,126.5,31.5
-6705,3,85.24999237,126.5,31.5
-6699,1,4865.5,178.5,30.5
-6696,1,4226.500488,177.5,30.5
-6695,1,4226.500488,177.5,30.5
-6694,1,4226.500488,177.5,30.5
-6693,1,5349.25,176.5,30.5
-6692,1,5551.25,175.5,30.5
-6691,1,5233.75,174.5,30.5
-6690,1,5110.000488,173.5,30.5
-6689,3,4752.249023,172.5,30.5
-6689,3,4752.249023,172.5,30.5
-6689,3,4752.249023,172.5,30.5
-6673,1,4995.750488,156.5,30.5
-6657,4,947.000061,140.5,30.5
-6657,4,947.000061,140.5,30.5
-6657,4,947.000061,140.5,30.5
-6657,4,947.000061,140.5,30.5
-6656,3,1768.499878,139.5,30.5
-6656,3,1768.499878,139.5,30.5
-6656,3,1768.499878,139.5,30.5
-6648,2,1739.000122,131.5,30.5
-6648,2,1739.000122,131.5,30.5
-6647,5,138.75,130.5,30.5
-6647,5,138.75,130.5,30.5
-6647,5,138.75,130.5,30.5
-6647,5,138.75,130.5,30.5
-6647,5,138.75,130.5,30.5
-6646,4,238.0004578,129.5,30.5
-6646,4,238.0004578,129.5,30.5
-6646,4,238.0004578,129.5,30.5
-6646,4,238.0004578,129.5,30.5
-6645,1,800.75,128.5,30.5
-6644,5,132.9999847,127.5,30.5
-6644,5,132.9999847,127.5,30.5
-6644,5,132.9999847,127.5,30.5
-6644,5,132.9999847,127.5,30.5
-6644,5,132.9999847,127.5,30.5
-6643,3,82.25000763,126.5,30.5
-6643,3,82.25000763,126.5,30.5
-6643,3,82.25000763,126.5,30.5
-6637,1,5275.75,178.5,29.5
-6632,2,5252.5,177.5,29.5
-6632,2,5252.5,177.5,29.5
-6631,3,5087.25,176.5,29.5
-6631,3,5087.25,176.5,29.5
-6631,3,5087.25,176.5,29.5
-6630,1,5536,175.5,29.5
-6629,1,5248.5,174.5,29.5
-6628,3,4060.749756,173.5,29.5
-6628,3,4060.749756,173.5,29.5
-6628,3,4060.749756,173.5,29.5
-6608,4,1345,153.5,29.5
-6608,4,1345,153.5,29.5
-6608,4,1345,153.5,29.5
-6608,4,1345,153.5,29.5
-6585,2,786.2495728,130.5,29.5
-6585,2,786.2495728,130.5,29.5
-6584,1,821.4996948,129.5,29.5
-6583,1,1004,128.5,29.5
-6582,1,491.9998474,127.5,29.5
-6581,4,92,125.5,29.5
-6581,4,104.25,126.5,29.5
-6581,4,104.25,126.5,29.5
-6581,4,104.25,126.5,29.5
-6570,2,5119,177.5,28.5
-6570,2,5119,177.5,28.5
-6569,2,5186.75,176.5,28.5
-6569,2,5186.75,176.5,28.5
-6568,1,5417.75,175.5,28.5
-6567,1,5633.5,174.5,28.5
-6535,1,2931.999268,142.5,28.5
-6533,1,2526.5,140.5,28.5
-6522,5,294.000061,129.5,28.5
-6522,5,294.000061,129.5,28.5
-6522,5,294.000061,129.5,28.5
-6522,5,294.000061,129.5,28.5
-6522,5,294.000061,129.5,28.5
-6521,1,939.999939,128.5,28.5
-6520,1,1101,127.5,28.5
-6519,4,137,126.5,28.5
-6519,4,137,126.5,28.5
-6519,4,137,126.5,28.5
-6519,4,137,126.5,28.5
-6518,1,108.25,125.5,28.5
-6513,1,5200.25,178.5,27.5
-6508,1,5576,177.5,27.5
-6507,1,5622.25,176.5,27.5
-6506,1,5603.75,175.5,27.5
-6475,1,3691.249268,144.5,27.5
-6473,4,1662.499878,142.5,27.5
-6473,4,1662.499878,142.5,27.5
-6473,4,1662.499878,142.5,27.5
-6473,4,1662.499878,142.5,27.5
-6471,1,2579.499756,140.5,27.5
