"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"76",405,1,38.5,-65.5,4740.25,1,38.5,-65.5,4740.25
"77",406,1,39.5,-65.5,4557.5,1,39.5,-65.5,4557.5
"78",407,1,40.5,-65.5,4722.75,1,40.5,-65.5,4722.75
"79",408,1,41.5,-65.5,4584.75,1,41.5,-65.5,4584.75
"80",409,1,42.5,-65.5,4171.75,1,42.5,-65.5,4171.75
"81",410,1,43.5,-65.5,3906.25,1,43.5,-65.5,3906.25
"82",411,1,44.5,-65.5,3767.25,1,44.5,-65.5,3767.25
"83",412,1,45.5,-65.5,3236.25,1,45.5,-65.5,3236.25
"84",413,1,46.5,-65.5,3008,1,46.5,-65.5,3008
"85",414,1,47.5,-65.5,2574,1,47.5,-65.5,2574
"86",415,1,48.5,-65.5,1609.5,1,48.5,-65.5,1609.5
"87",416,1,49.5,-65.5,2301.75,1,49.5,-65.5,2301.75
"88",417,1,50.5,-65.5,2394.5,1,50.5,-65.5,2394.5
"89",418,1,51.5,-65.5,2090.25,1,51.5,-65.5,2090.25
"90",419,1,52.5,-65.5,1989.75,1,52.5,-65.5,1989.75
"91",422,1,55.5,-65.5,2350.5,1,55.5,-65.5,2350.5
"92",423,1,56.5,-65.5,2476.75024414,1,56.5,-65.5,2476.75024414
"93",424,1,57.5,-65.5,3007,1,57.5,-65.5,3007
"94",425,1,58.5,-65.5,3532,1,58.5,-65.5,3532
"95",426,1,59.5,-65.5,3510.25,1,59.5,-65.5,3510.25
"96",427,1,60.5,-65.5,3753.25,1,60.5,-65.5,3753.25
"97",428,1,61.5,-65.5,3876.75,1,61.5,-65.5,3876.75
"98",429,1,62.5,-65.5,3892,1,62.5,-65.5,3892
"99",430,1,63.5,-65.5,3358.25,1,63.5,-65.5,3358.25
"100",431,1,64.5,-65.5,2846.75,1,64.5,-65.5,2846.75
"101",432,1,65.5,-65.5,2761.5,1,65.5,-65.5,2761.5
"102",433,1,66.5,-65.5,3253.75,1,66.5,-65.5,3253.75
"103",434,1,67.5,-65.5,2998.25,1,67.5,-65.5,2998.25
"104",435,1,68.5,-65.5,2683.25,1,68.5,-65.5,2683.25
"105",436,1,69.5,-65.5,2417.5,1,69.5,-65.5,2417.5
"106",437,1,70.5,-65.5,2837.75,1,70.5,-65.5,2837.75
"107",438,1,71.5,-65.5,2965.25,1,71.5,-65.5,2965.25
"108",439,1,72.5,-65.5,2860.75,1,72.5,-65.5,2860.75
"109",440,1,73.5,-65.5,3009.5,1,73.5,-65.5,3009.5
"110",441,1,74.5,-65.5,2919.25,1,74.5,-65.5,2919.25
"111",442,1,75.5,-65.5,3285,1,75.5,-65.5,3285
"112",443,1,76.5,-65.5,3381.5,1,76.5,-65.5,3381.5
"113",444,1,77.5,-65.5,3258.75,1,77.5,-65.5,3258.75
"114",445,1,78.5,-65.5,3284.25,1,78.5,-65.5,3284.25
"115",446,1,79.5,-65.5,3423.75,1,79.5,-65.5,3423.75
"116",447,1,80.5,-65.5,2942.5,1,80.5,-65.5,2942.5
"117",448,1,81.5,-65.5,1701.74987793,1,81.5,-65.5,1701.74987793
"118",449,1,82.5,-65.5,2657.49975586,1,82.5,-65.5,2657.49975586
"119",450,1,83.5,-65.5,2555,1,83.5,-65.5,2555
"120",451,1,84.5,-65.5,2672.5,1,84.5,-65.5,2672.5
"121",452,1,85.5,-65.5,2922.25,1,85.5,-65.5,2922.25
"122",453,1,86.5,-65.5,2337,1,86.5,-65.5,2337
"123",454,1,87.5,-65.5,2995.25,1,87.5,-65.5,2995.25
"124",455,1,88.5,-65.5,3004.75,1,88.5,-65.5,3004.75
"125",456,1,89.5,-65.5,2896,1,89.5,-65.5,2896
"126",457,1,90.5,-65.5,1660.50012207,1,90.5,-65.5,1660.50012207
"127",459,1,92.5,-65.5,482.249938965,1,92.5,-65.5,482.249938965
"128",461,1,94.5,-65.5,742.750061035,1,94.5,-65.5,742.750061035
"129",517,1,21.5,-64.5,4898,1,21.5,-64.5,4898
"130",518,1,22.5,-64.5,4881.75,1,22.5,-64.5,4881.75
"131",519,1,23.5,-64.5,4833.5,1,23.5,-64.5,4833.5
"132",520,1,24.5,-64.5,4912,1,24.5,-64.5,4912
"133",521,1,25.5,-64.5,4966,1,25.5,-64.5,4966
"134",522,1,26.5,-64.5,5045.5,1,26.5,-64.5,5045.5
"135",523,1,27.5,-64.5,5051.5,1,27.5,-64.5,5051.5
"136",524,1,28.5,-64.5,5092,1,28.5,-64.5,5092
"137",525,1,29.5,-64.5,5057,1,29.5,-64.5,5057
"138",526,1,30.5,-64.5,5023.25,1,30.5,-64.5,5023.25
"139",527,1,31.5,-64.5,4736.5,1,31.5,-64.5,4736.5
"140",528,1,32.5,-64.5,4648.75,1,32.5,-64.5,4648.75
"141",529,1,33.5,-64.5,3923,1,33.5,-64.5,3923
"142",530,1,34.5,-64.5,4927.75,1,34.5,-64.5,4927.75
