"","depth","richness","x_exact","y_exact","y_exact_abs","ocean"
"8364",3507,0,-44.5,54.5,54.5,"atlantic"
"8365",3503,0,-2.5,68.5,68.5,"atlantic"
"8366",3501,0,-45.5,56.5,56.5,"atlantic"
"8367",3501,0,0.5,67.5,67.5,"atlantic"
"8368",3499,0,-55.5,-60.5,60.5,"atlantic"
"8369",3499,0,-1.5,66.5,66.5,"atlantic"
"8370",3496,0,-92.5,22.5,22.5,"atlantic"
"8371",3495,0,-69.5,38.5,38.5,"atlantic"
"8372",3495,0,-52.5,57.5,57.5,"atlantic"
"8373",3492,0,20.5,-54.5,54.5,"atlantic"
"8374",3491.999976,0,20.5,-54.5,54.5,"atlantic"
"8375",3482,0,-42.5,53.5,53.5,"atlantic"
"8376",3478,0,-93.5,25.5,25.5,"atlantic"
"8377",3477,0,-45.5,-70.5,70.5,"atlantic"
"8378",3477,0,-90.5,25.5,25.5,"atlantic"
"8379",3475,0,-1.5,67.5,67.5,"atlantic"
"8380",3468,0,-46.5,-63.5,63.5,"atlantic"
"8381",3468,0,-54.5,-56.5,56.5,"atlantic"
"8382",3466,0,13.5,39.5,39.5,"atlantic"
"8383",3466,0,-46.5,56.5,56.5,"atlantic"
"8384",3466,0,-5.5,67.5,67.5,"atlantic"
"8385",3465,0,-94.5,25.5,25.5,"atlantic"
"8386",3462,0,19.5,-68.5,68.5,"atlantic"
"8387",3461,0,-63.5,-60.5,60.5,"atlantic"
"8388",3460,0,-48.5,-69.5,69.5,"atlantic"
"8389",3456,0,-3.5,65.5,65.5,"atlantic"
"8390",3453,0,-50.5,55.5,55.5,"atlantic"
"8391",3453,0,-53.5,58.5,58.5,"atlantic"
"8392",3448,0,-41.5,-71.5,71.5,"atlantic"
"8393",3448,0,-49.5,58.5,58.5,"atlantic"
"8394",3447,0,-52.5,59.5,59.5,"atlantic"
"8395",3443,0,5.5,-68.5,68.5,"atlantic"
"8396",3443,0,-57.5,-59.5,59.5,"atlantic"
"8397",3440,0,-42.5,55.5,55.5,"atlantic"
"8398",3438,0,-50.5,-59.5,59.5,"atlantic"
"8399",3433,0,-66.5,-59.5,59.5,"atlantic"
"8400",3431,0,-68.5,-63.5,63.5,"atlantic"
"8401",3430,0,-52.5,58.5,58.5,"atlantic"
"8402",3428,0,-52.5,-59.5,59.5,"atlantic"
"8403",3428,0,-48.5,58.5,58.5,"atlantic"
"8404",3426,0,-62.5,-61.5,61.5,"atlantic"
"8405",3425,0,-43.5,57.5,57.5,"atlantic"
"8406",3416,0,17.5,36.5,36.5,"atlantic"
"8407",3411,0,-46.5,-62.5,62.5,"atlantic"
"8408",3407,0,-63.5,-61.5,61.5,"atlantic"
"8409",3407,0,-43.5,54.5,54.5,"atlantic"
"8410",3406,0,-67.5,-63.5,63.5,"atlantic"
"8411",3404,0,-47.5,-68.5,68.5,"atlantic"
"8412",3404,0,-50.5,59.5,59.5,"atlantic"
"8413",3403,0,-53.5,57.5,57.5,"atlantic"
"8414",3401,0,-2.5,66.5,66.5,"atlantic"
"8415",3399,0,-64.5,-60.5,60.5,"atlantic"
"8416",3398,0,-48.5,-62.5,62.5,"atlantic"
"8417",3396,0,-51.5,55.5,55.5,"atlantic"
"8418",3395,0,-54.5,58.5,58.5,"atlantic"
"8419",3392,0,-44.5,57.5,57.5,"atlantic"
"8420",3382,0,-48.5,-68.5,68.5,"atlantic"
"8421",3380,0,-49.5,-62.5,62.5,"atlantic"
"8422",3380,0,-43.5,55.5,55.5,"atlantic"
"8423",3378,0,-89.5,25.5,25.5,"atlantic"
"8424",3377,0,-48.5,57.5,57.5,"atlantic"
"8425",3375,0,-42.5,57.5,57.5,"atlantic"
"8426",3371,0,-61.5,-58.5,58.5,"atlantic"
"8427",3371,0,-53.5,56.5,56.5,"atlantic"
"8428",3371,0,-44.5,56.5,56.5,"atlantic"
"8429",3368,0,-51.5,59.5,59.5,"atlantic"
"8430",3367,0,-44.5,55.5,55.5,"atlantic"
"8431",3366,0,-66.5,-57.5,57.5,"atlantic"
"8432",3366,0,19.5,34.5,34.5,"atlantic"
"8433",3364,0,-95.5,24.5,24.5,"atlantic"
"8434",3363,0,-47.5,-69.5,69.5,"atlantic"
"8435",3363,0,-42.5,56.5,56.5,"atlantic"
"8436",3360,0,-50.5,-67.5,67.5,"atlantic"
"8437",3358,0,-46.5,-70.5,70.5,"atlantic"
"8438",3358,0,9.5,-68.5,68.5,"atlantic"
"8439",3356,0,-87.5,25.5,25.5,"atlantic"
"8440",3355,0,-66.5,-58.5,58.5,"atlantic"
"8441",3355,0,-5.5,68.5,68.5,"atlantic"
"8442",3354,0,-48.5,-63.5,63.5,"atlantic"
"8443",3351,0,-65.5,-57.5,57.5,"atlantic"
"8444",3350,0,-50.5,-62.5,62.5,"atlantic"
"8445",3349,0,18.5,-68.5,68.5,"atlantic"
"8446",3347,0,-51.5,-69.5,69.5,"atlantic"
"8447",3344,0,-64.5,-59.5,59.5,"atlantic"
"8448",3342,0,-45.5,54.5,54.5,"atlantic"
"8449",3341.000024,0,20.5,-51.5,51.5,"atlantic"
"8450",3340,0,-45.5,55.5,55.5,"atlantic"
"8451",3339,0,-49.5,52.5,52.5,"atlantic"
"8452",3339,0,-49.5,59.5,59.5,"atlantic"
"8453",3337,0,-49.5,-68.5,68.5,"atlantic"
"8454",3335,0,-50.5,54.5,54.5,"atlantic"
"8455",3334,0,-88.5,25.5,25.5,"atlantic"
"8456",3330,0,7.5,-68.5,68.5,"atlantic"
"8457",3321,0,-5.5,46.5,46.5,"atlantic"
"8458",3320,0,-51.5,-62.5,62.5,"atlantic"
"8459",3318,0,-50.5,53.5,53.5,"atlantic"
"8460",3318,0,-55.5,58.5,58.5,"atlantic"
"8461",3317,0,-60.5,-57.5,57.5,"atlantic"
"8462",3312,0,-50.5,-64.5,64.5,"atlantic"
"8463",3311,0,-41.5,56.5,56.5,"atlantic"
"8464",3311,0,-5.5,66.5,66.5,"atlantic"
"8465",3305,0,-92.5,25.5,25.5,"atlantic"
"8466",3304,0,8.5,-67.5,67.5,"atlantic"
"8467",3303,0,3.5,-67.5,67.5,"atlantic"
"8468",3301,0,-50.5,-66.5,66.5,"atlantic"
"8469",3297,0,-48.5,51.5,51.5,"atlantic"
"8470",3295,0,-67.5,-58.5,58.5,"atlantic"
"8471",3292,0,-53.5,59.5,59.5,"atlantic"
"8472",3291,0,-46.5,54.5,54.5,"atlantic"
"8473",3290,0,16.5,36.5,36.5,"atlantic"
"8474",3289,0,-54.5,57.5,57.5,"atlantic"
"8475",3286,0,-91.5,25.5,25.5,"atlantic"
"8476",3285,0,-50.5,-69.5,69.5,"atlantic"
"8477",3284,0,19.5,35.5,35.5,"atlantic"
"8478",3284,0,19.5,37.5,37.5,"atlantic"
"8479",3278,0,-65.5,-62.5,62.5,"atlantic"
"8480",3273,0,-49.5,-69.5,69.5,"atlantic"
"8481",3273,0,17.5,34.5,34.5,"atlantic"
"8482",3272,0,-66.5,-63.5,63.5,"atlantic"
"8483",3272,0,18.5,34.5,34.5,"atlantic"
"8484",3271,0,6.5,-68.5,68.5,"atlantic"
"8485",3266,0,-54.5,59.5,59.5,"atlantic"
"8486",3263,0,4.5,-68.5,68.5,"atlantic"
"8487",3263,0,-42.5,54.5,54.5,"atlantic"
"8488",3262,0,-37.5,57.5,57.5,"atlantic"
"8489",3257,0,-50.5,-65.5,65.5,"atlantic"
"8490",3255,0,-4.5,64.5,64.5,"atlantic"
"8491",3249,0,-48.5,-70.5,70.5,"atlantic"
"8492",3247,0,-2.5,65.5,65.5,"atlantic"
"8493",3246,0,-55.5,59.5,59.5,"atlantic"
"8494",3245,0,8.5,-68.5,68.5,"atlantic"
"8495",3240,0,-5.5,64.5,64.5,"atlantic"
"8496",3239,0,-52.5,55.5,55.5,"atlantic"
"8497",3234,0,19.5,36.5,36.5,"atlantic"
"8498",3234,0,-52.5,60.5,60.5,"atlantic"
"8499",3234,0,-0.5,66.5,66.5,"atlantic"
"8500",3230,0,-51.5,-67.5,67.5,"atlantic"
"8501",3230,0,-40.5,57.5,57.5,"atlantic"
"8502",3228,0,-47.5,-70.5,70.5,"atlantic"
"8503",3228,0,-62.5,-58.5,58.5,"atlantic"
"8504",3220,0,-8.5,-69.5,69.5,"atlantic"
"8505",3214,0,-41.5,57.5,57.5,"atlantic"
"8506",3211,0,-42.5,-71.5,71.5,"atlantic"
"8507",3207,0,-45.5,57.5,57.5,"atlantic"
"8508",3206,0,-17.5,-71.5,71.5,"atlantic"
"8509",3202,0,-40.5,56.5,56.5,"atlantic"
"8510",3196,0,0.5,66.5,66.5,"atlantic"
"8511",3195,0,-49.5,-70.5,70.5,"atlantic"
"8512",3194,0,-64.5,41.5,41.5,"atlantic"
"8513",3191,0,-39.5,57.5,57.5,"atlantic"
"8514",3190,0,11.5,39.5,39.5,"atlantic"
"8515",3188,0,-50.5,-68.5,68.5,"atlantic"
"8516",3186,0,28.5,33.5,33.5,"atlantic"
"8517",3177.999999,0,20.5,-53.5,53.5,"atlantic"
"8518",3177,0,-48.5,59.5,59.5,"atlantic"
"8519",3175,0,-49.5,-61.5,61.5,"atlantic"
"8520",3173,0,-57.5,-57.5,57.5,"atlantic"
"8521",3170,0,12.5,40.5,40.5,"atlantic"
"8522",3167,0,-1.5,65.5,65.5,"atlantic"
"8523",3164,0,-67.5,-60.5,60.5,"atlantic"
"8524",3160,0,-39.5,58.5,58.5,"atlantic"
"8525",3159,0,-40.5,58.5,58.5,"atlantic"
"8526",3156,0,-1.5,68.5,68.5,"atlantic"
"8527",3154,0,-54.5,-60.5,60.5,"atlantic"
"8528",3152,0,-43.5,-63.5,63.5,"atlantic"
"8529",3152,0,27.5,32.5,32.5,"atlantic"
"8530",3150,0,18.5,37.5,37.5,"atlantic"
"8531",3141,0,16.5,-68.5,68.5,"atlantic"
"8532",3140,0,-51.5,60.5,60.5,"atlantic"
"8533",3131,0,-53.5,60.5,60.5,"atlantic"
"8534",3128,0,-93.5,21.5,21.5,"atlantic"
"8535",3126,0,-49.5,-63.5,63.5,"atlantic"
"8536",3126,0,-41.5,55.5,55.5,"atlantic"
"8537",3124,0,-43.5,56.5,56.5,"atlantic"
"8538",3120,0,-3.5,64.5,64.5,"atlantic"
"8539",3115,0,-50.5,-61.5,61.5,"atlantic"
"8540",3115,0,-40.5,54.5,54.5,"atlantic"
"8541",3115,0,-54.5,60.5,60.5,"atlantic"
"8542",3113,0,-52.5,-67.5,67.5,"atlantic"
"8543",3113,0,-54.5,56.5,56.5,"atlantic"
"8544",3109,0,-70.5,38.5,38.5,"atlantic"
"8545",3105,0,-51.5,-59.5,59.5,"atlantic"
"8546",3102,0,-73.5,36.5,36.5,"atlantic"
"8547",3100,0,-48.5,-61.5,61.5,"atlantic"
"8548",3100,0,-37.5,59.5,59.5,"atlantic"
"8549",3099,0,-45.5,-62.5,62.5,"atlantic"
"8550",3093,0,20.5,33.5,33.5,"atlantic"
"8551",3092,0,-51.5,-66.5,66.5,"atlantic"
"8552",3091,0,16.5,35.5,35.5,"atlantic"
"8553",3079,0,-15.5,53.5,53.5,"atlantic"
"8554",3078,0,-95.5,23.5,23.5,"atlantic"
"8555",3078,0,-47.5,57.5,57.5,"atlantic"
"8556",3073,0,-41.5,58.5,58.5,"atlantic"
"8557",3065,0,20.5,35.5,35.5,"atlantic"
"8558",3059,0,19.5,33.5,33.5,"atlantic"
"8559",3059,0,-56.5,58.5,58.5,"atlantic"
"8560",3057,0,-50.5,-70.5,70.5,"atlantic"
"8561",3055,0,-56.5,59.5,59.5,"atlantic"
"8562",3054,0,-38.5,59.5,59.5,"atlantic"
"8563",3053,0,26.5,32.5,32.5,"atlantic"
"8564",3053,0,-38.5,58.5,58.5,"atlantic"
"8565",3048,0,-46.5,55.5,55.5,"atlantic"
"8566",3046,0,-72.5,37.5,37.5,"atlantic"
"8567",3035,0,-6.5,-68.5,68.5,"atlantic"
"8568",3032,0,-0.5,65.5,65.5,"atlantic"
"8569",3024,0,-55.5,57.5,57.5,"atlantic"
"8570",3024,0,-34.5,61.5,61.5,"atlantic"
"8571",3021,0,-38.5,56.5,56.5,"atlantic"
"8572",3016,0,-15.5,52.5,52.5,"atlantic"
"8573",3012,0,-95.5,22.5,22.5,"atlantic"
"8574",3010,0,-39.5,55.5,55.5,"atlantic"
"8575",3010,0,-55.5,60.5,60.5,"atlantic"
"8576",3006,0,-36.5,59.5,59.5,"atlantic"
"8577",3005,0,29.5,33.5,33.5,"atlantic"
"8578",3005,0,18.5,38.5,38.5,"atlantic"
"8579",3004,0,-50.5,60.5,60.5,"atlantic"
"8580",3003,0,-46.5,57.5,57.5,"atlantic"
"8581",3001,0,-23.5,57.5,57.5,"atlantic"
"8582",3001,0,-52.5,61.5,61.5,"atlantic"
