"","depth","richness1d","richness2d"
"321",3862,2,1
"322",3863,2,1
"323",3868,2,1
"324",3874,2,1
"325",3876,2,1
"326",3880,2,1
"327",3881,2,1
"328",3882,2,1
"329",3883,2,1
"330",3890,2,1
"331",3891,2,1
"332",3892,2,1
"333",3894,2,1
"334",3895,2,1
"335",3902,2,1
"336",3908,2,1
"337",3909,2,1
"338",3913,2,1
"339",3914,2,1
"340",3920,2,1
"341",3923,2,1
"342",3926,2,1
"343",3928,2,1
"344",3929,2,1
"345",3932,2,1
"346",3936,2,1
"347",3937,2,1
"348",3943,2,1
"349",3949,2,1
"350",3950,2,1
"351",3953,2,1
"352",3956,2,1
"353",3958,2,1
"354",3961,2,1
"355",3965,2,1
"356",3971,2,1
"357",3973,2,1
"358",3976,2,1
"359",3978,2,1
"360",3982,2,1
"361",3985,2,1
"362",3986,2,1
"363",3987,2,1
"364",3988,2,1
"365",3992,2,1
"366",3995,2,1
"367",3996,2,1
"368",4000,2,1
"369",4004,2,1
"370",4007,2,1
"371",4014,2,1
"372",4015,2,1
"373",4018,2,1
"374",4023,2,1
"375",4025,2,1
"376",4027,2,1
"377",4029,2,1
"378",4034,2,2
"379",4037,2,1
"380",4039,2,1
"381",4051,2,1
"382",4052,2,1
"383",4053,2,1
"384",4055,2,1
"385",4058,2,1
"386",4063,2,1
"387",4064,2,1
"388",4065,2,1
"389",4070,2,1
"390",4071,2,1
"391",4072,2,1
"392",4073,2,1
"393",4076,2,1
"394",4079,2,1
"395",4081,2,1
"396",4084,2,1
"397",4088,2,1
"398",4089,2,1
"399",4090,2,1
"400",4093,2,1
"401",4096,2,1
"402",4097,2,1
"403",4098,2,1
"404",4100,2,1
"405",4102,2,1
"406",4107,2,1
"407",4108,2,1
"408",4110,2,1
"409",4112,2,1
"410",4115,2,1
"411",4116,2,2
"412",4120,2,1
"413",4122,2,1
"414",4123,2,1
"415",4124,2,1
"416",4125,2,1
"417",4131,2,1
"418",4132,2,1
"419",4133,2,1
"420",4134,2,1
"421",4136,2,1
"422",4139,2,1
"423",4141,2,1
"424",4142,2,1
"425",4145,2,1
"426",4146,2,1
"427",4147,2,1
"428",4148,2,1
"429",4149,2,1
"430",4150,2,1
"431",4151,2,1
"432",4157,2,1
"433",4160,2,1
"434",4161,2,2
"435",4162,2,1
"436",4164,2,1
"437",4171,2,1
"438",4173,2,1
"439",4174,2,1
"440",4178,2,1
"441",4181,2,1
"442",4182,2,1
"443",4184,2,1
"444",4187,2,1
"445",4188,2,1
"446",4190,2,1
"447",4191,2,2
"448",4193,2,1
"449",4195,2,1
"450",4198,2,1
"451",4199,2,1
"452",4201,2,1
"453",4204,2,1
"454",4205,2,1
"455",4211,2,1
"456",4214,2,1
"457",4217,2,1
"458",4219,2,1
"459",4224,2,1
"460",4225,2,1
"461",4226,2,1
"462",4228,2,1
"463",4231,2,1
"464",4232,2,1
"465",4234,2,2
"466",4235,2,1
"467",4237,2,1
"468",4238,2,1
"469",4240,2,1
"470",4242,2,1
"471",4243,2,1
"472",4245,2,1
"473",4248,2,1
"474",4249,2,1
"475",4250,2,1
"476",4252,2,1
"477",4254,2,1
"478",4255,2,1
"479",4256,2,1
"480",4258,2,1
"481",4259,2,1
"482",4264,2,1
"483",4265,2,1
"484",4266,2,1
"485",4267,2,1
"486",4270,2,1
"487",4271,2,1
"488",4273,2,1
"489",4274,2,1
"490",4275,2,1
"491",4276,2,1
"492",4278,2,1
"493",4280,2,1
"494",4281,2,1
"495",4282,2,1
"496",4287,2,1
"497",4289,2,1
"498",4290,2,1
"499",4296,2,1
"500",4301,2,1
"501",4302,2,1
"502",4303,2,1
"503",4304,2,1
"504",4305,2,1
"505",4306,2,1
"506",4307,2,1
"507",4310,2,1
"508",4311,2,1
"509",4312,2,1
"510",4318,2,1
"511",4324,2,1
"512",4327,2,1
"513",4328,2,1
"514",4332,2,1
"515",4336,2,1
"516",4337,2,1
"517",4340,2,1
"518",4341,2,1
"519",4342,2,1
"520",4343,2,1
"521",4344,2,1
"522",4349,2,1
"523",4351,2,1
"524",4353,2,1
"525",4356,2,1
"526",4358,2,2
"527",4360,2,1
"528",4361,2,1
"529",4363,2,1
"530",4367,2,1
